site_name,address,copa_id
ABC Preschool,3800 N. Austin Avenue,426
Allison's (On 71st),440 E 71st St.,1312
Allison's 71st Street,440 E 71st St.,1208
Archdiocese of Chicago-Augustus Tolton,7120 S. Calumet Avenue,1559
Archdiocese of Chicago-St. Gall,5515 S. Sawyer Avenue,1570
Archdiocese of Chicago-St. Philip Neri,2010 E. 72nd Street,1572
Archdiocese of Chicago-St. Sylvester,3027 W. Palmer St,1574
Armour,950 W 33RD PL,1391
Ashburn,8300 S ST LOUIS AVE,1393
Asian Human Services (Leaf Program Daycare Center),6015 N. Francisco Ave,1386
Avalon Park,,1650
Barry,2828 N KILBOURN AVE,1396
Bass,1140 W. 66th St. ,1167
Beacon Therapeutic,1912 W 103rd St,1059
Beasley,5255 S STATE ST,1398
Belding,4257 N TRIPP AVE,1400
Belmont-Cragin,5252 W PALMER ST,1401
Blue North,1615 W. Chicago Avenue St.,518
Building Blocks Learning Academy II,7522 S. Greenwood Ave,1384
Burroughs,,1626
Caldwell,,1627
Calumet Family Service Center,235 East 103rd Street ,1237
Cardenas,2406 S. Central Park Ave.,272
Carroll,2929 W 83RD ST,1421
Carson,5516 S. Mapplewood Ave,945
Carver G,901 E 133RD PL,1422
Chance After Chance,305-09 N.Cicero,1577
Chavez,4747 S MARSHFIELD AVE,1425
Children's Center (Western),7956 S. Western,869
Children's Place Association-Humboldt Park,1800 N. Humboldt Blvd,1582
Chinese American Service League Child Dev Ctr,2141 S. Tan Court,432
Church of God Community Day Care,1738 W. Marquette St,82
City Colleges - Daley College,7500 S Pulaski Rd. ,905
City Colleges - Kennedy-King College,710 W 65th Building Z,129
City Colleges - Malcolm X College,1900 W. Jackson,128
City Colleges - Truman College,1145 W. Wilson Ave ,126
Concordia Place - Seeley,3855 N. Seeley Ave,1584
Courtenay,4420 N BEACON ST,1432
Creative Little Ones (Halsted),9528 S Halsted St.,1372
Crown,2128 S St Louis Ave,1305
Crystal Palace,1459 W 74th St.,1124
Cuddle Care Academy,4800 S Lake Park Ave,1094
Cuffe,,1628
Curtis,32 East 115th Street,259
Davis N,3014 W. 39th Place,1052
Dewey,5415 S Union Ave,1232
Doolittle,535 East 35th Street,288
Drake,,1629
Dulles,6311 South Calumet,290
Dvorak,3615 West 16th,292
Early Child Care Services,160 N. LaSalle St. 201,1587
Esmond,1865 West Montvale,302
Evers,,1630
Falconer,3020 North Lamon Ave.,305
Family Focus - Englewood,6727 S Western Ave,1301
Faraday,3250 West Monroe,307
FCCH-Alejandra Flores,3443 W. 71st Place,726
FCCH-Angelita Yugsi,6547 S Knox Ave,803
FCCH-Claudia Larios,4711 S Wolcott Ave,1129
FCCH-Debra Baker,1728 N Austin Ave,1239
FCCH-Delgado Mercedes,7711 S. Keating Ave,1375
FCCH-Diana G. Macias,6137 W. nelson St,1338
FCCH-Ileana Gonzalez,4250 W. 81st Street,1342
FCCH-Isabel and Ade Gutierrez (N),5256 S. Homan,1369
FCCH-Jacquelin Hopgood-German,10003 S Morgan St,1373
FCCH-Juan L. Fuentes,5708 S. Rockwell St.,1348
FCCH-Latashie Taiwo,8609 S Ingleside Ave,1253
FCCH-Laura Maldonado,4810 S.. Kedvale Ave,1330
FCCH-Maria Rosalba Zermeno,3234 W 66th St,1333
FCCH-Martha Cruz-Ornelas,2445 S. Trumbull Ave,1335
FCCH-Mary Pratts,2857 W. 55th St,1336
FCCH-Michelle Padilla,7973 S. Kolin Ave.,913
FCCH-Nancy Aguirre,4015 W. 59th Street,1374
FCCH-Netonia Burrell,1242 W 73rd Pl,1282
FCCH-Patricia Coba,2719 S Millard,1044
FCCH-Patricia Hernandez,4958 S Racine Ave,1004
FCCH-Patricia Oros,2826 W 40th Pl,1003
FCCH-Perla Yasuda,4612 W. 82nd Street,1331
