ECMKey|Site_Name|Desc_English|Desc_Spanish|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Location|Agency_Associated_With|Modified_on|Quality_Rating|Availability_Level
356|A.N. Pritzker School|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2009 W Schiller St|Chicago|IL|60622|(773) 534-4415|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610229|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
357|Adlai E Stevenson ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|8010 S Kostner Ave|Chicago|IL|60652|(773) 535-2280|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610185 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
358|Agustin Lara Elementary Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4619 S Wolcott Ave|Chicago|IL|60609|(773) 535-4389|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609993|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
359|Alessandro Volta ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4950 N Avers Ave|Chicago|IL|60625|(773) 534-5080|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610209 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
360|Alex Haley Elementary Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|11411 S Eggleston Ave|Chicago|IL|60628|(773) 535-5340|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609808|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
361|Alexander Graham ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|745 W 45th St|Chicago|IL|60609|(773) 535-1308|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609947|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
362|Alfred Nobel ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|4127 W Hirsch St|Chicago|IL|60651|(773) 534-4365|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610098|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
363|Alice L Barnard Computer Math & Science Ctr ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|10354 S Charles St|Chicago|IL|60643|(773) 535-2625|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609788|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
364|Amos Alonzo Stagg ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|7424 S Morgan St|Chicago|IL|60621|(773) 535-3565|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610339 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
365|Andrew Carnegie ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|1414 E 61st Pl|Chicago|IL|60637|(773) 535-0530|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609837|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
366|Anna R. Langford Community Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6010 S Throop St|Chicago|IL|60636|(773) 535-9180|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609869|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
367|Ariel Elementary Community Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports |_|1119 E 46th St|Chicago|IL|60653|(773)-535-1996|_|_|True|False|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
368|Arnold Mireles Elementary Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|9000 S Exchange Ave|Chicago|IL|60617|(773) 535-6360|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610171|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Medium
369|Arthur Dixon ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|8306 S Saint Lawrence Ave|Chicago|IL|60619|(773) 535-3834|http://www.dixon.cps.k12.il.us|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
370|Arthur E Canty ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3740 N Panama Ave|Chicago|IL|60634|(773) 534-1238|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609836|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
371|Asa Philip Randolph ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|7316 S Hoyne Ave|Chicago|IL|60636|(773) 535-9015|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609941|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
372|Ashburn Community ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|8300 S Saint Louis Ave|Chicago|IL|60652|(773) 535-7860|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610287|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
373|Avalon Park ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|8045 S Kenwood Ave|Chicago|IL|60619|(773) 535-6615|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609786|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
374|Barbara Vick Early Childhood & Family Center|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|2554 W 113th St|Chicago|IL|60655|(773) 535-9010|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609871 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
375|Barbara Vick Village|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6601 S Kedzie Ave|Chicago|IL|60655|(773) 535-9010|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609871 |_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
376|Belmont-Cragin ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6041 W Diversey Ave|Chicago|IL|60639|(773) 534-3318|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609922|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
377|Benjamin E Mays Elementary Academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6656 S Normal Blvd|Chicago|IL|60621|(773) 535-3892|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610290|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
378|Bernhard Moos ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|1711 N California Ave|Chicago|IL|60647|(773) 534-4340|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610076|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
379|Blair Early Childhood Center|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|6751 W 63rd Pl|Chicago|IL|60638|(773) 535-2076|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610087|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
380|Bret Harte ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|1556 E 56th St|Chicago|IL|60637|(773) 535-0870|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609969|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
381|Brian Piccolo Elementary Specialty School|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|1040 N Keeler Ave|Chicago|IL|60651|(773) 534-4425|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610106|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|High
382|Brighton Park ES|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|3825 S Washtenaw Ave|Chicago|IL|60632|(773) 535-7237|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610317|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
383|Burnham Elementary Inclusive academy|Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old  particularly those most in need  have access to high-quality programs. Schools are committed to creating an engaging  developmentally appropriate learning environment that supports |_|9928 S Crandon Ave|Chicago|IL|60617|(773) 535-6350|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609821|_|True|True|_|_|_|_|_|_|_|_|_|_|_|_|_|_|Chicago Public Schools|Jun 27 2016  9:37PM|_|Low
