Master Site Name,Master Address,ECM Key,Portal ID
ABC Preschool,3800 N Austin Ave,100,198
Ada S. McKinley Community Services - Ersula Howard,7222 S Exchange Ave,101,205
Ada S. McKinley Community Services - Maggie Drummond,4301 S Wabash Ave,102,346
Ada S. McKinley Community Services - Roseland,11400 S Edbrooke Ave,103,204
Ada S. McKinley Community Services - Trumbull Park,10534 S Oglesby Ave,104,203
Albany Park Community Center - Ainslie,3401 W Ainslie Ave,105,211
Albany Park Community Center - Uptown,1020 W Bryn Mawr Ave,106,212
All About Kids Learning Academy,514 E 75th St,107,213
Allison's Infant and Toddler Center - Englewood,5522 S Racine Ave,108,215
Allison's Infant and Toddler Center - Park Manor/Greater Grand Crossing,440-442 E 71st St,109,217
Allison's Infant and Toddler Center - Roseland,234 E 115th St,110,218
Archdiocese of Chicago - Augustus Tolton,7120 S Calumet Ave,111,401
Archdiocese of Chicago - Epiphany,4223 W 25th St,112,283
Archdiocese of Chicago - Maternity BVM,1537 N Lawndale Ave,113,355
Archdiocese of Chicago - Our Lady of Grace,2446 N Ridgeway Ave,114,374
Archdiocese of Chicago - Our Lady of Tepeyac,2235 S Albany Ave,115,377
Archdiocese of Chicago - Our Lady of the Snow,4810 S Leamington Ave,116,380
Archdiocese of Chicago - Pope John Paul II,4325 S Richmond Ave,117,385
Archdiocese of Chicago - Queen of the Universe,7130 S Hamlin Ave,118,386
Archdiocese of Chicago - St. Agnes of Bohemia,2643 S Central Park Ave,119,398
Archdiocese of Chicago - St. Angela,1332 N Massasoit Ave,120,399
Archdiocese of Chicago - St. Ann,2211 W 18th Pl,121,392
Archdiocese of Chicago - St. Benedict the African,6020 S Laflin St,122,201
Archdiocese of Chicago - St. Bruno,4839 S Harding Ave,123,400
Archdiocese of Chicago - St. Ethelreda,8734 S Paulina St,124,405
Archdiocese of Chicago - St. Gall,5515 S Sawyer Ave,125,406
Archdiocese of Chicago - St. John de la Salle,10212 S Vernon Ave,126,407
Archdiocese of Chicago - St. Margaret of Scotland,9833 Throop Street,127,397
Archdiocese of Chicago - St. Mary of the Lake,1026 W Buena Ave,128,410
Archdiocese of Chicago - St. Mary Star of the Sea,6424 S Kenneth Ave,129,412
Archdiocese of Chicago - St. Nicholas of Tolentine,3741 W 62nd St,130,413
Archdiocese of Chicago - St. Richard,5025 S Kenneth Ave,131,415
Archdiocese of Chicago - St. Sabina,7801 S Throop Ave,132,417
Archdiocese of Chicago - St. Sylvester,3027 W Palmer Sq,133,418
Asian Human Services - LEAF program,2838 W Peterson Ave,134,222
Building Blocks Learning Academy,1120 W 69th St,135,230
Carole Robertson Center for Learning - Ogden,3701 W Ogden Ave,136,233
Carole Robertson Center for Learning - 19th Street,2929 W 19th St,137,481
Casa Central - Early Learning Academy,1343 N California Ave,138,234
Catholic Charities - Chicago Lawn Child Development Center,3001 W 59th St,139,246
Catholic Charities - Cordi Marian Child Development Center,1100 S May St,140,264
Catholic Charities - Our Lady of Lourdes Child Development Center,1449 S Keeler Ave,141,375
Catholic Charities - Our Lady of Tepeyac Child Development Center,2414 S Albany Ave,142,378
Catholic Charities - St. Joseph Child Development Center,4800 S Paulina Ave,143,408
Centers for New Horizons - Altgeld Gardens Early Learning Center,941 E 132nd St,144,236
Centers for New Horizons - Effie O. Ellis Early Learning Center,4301 S Cottage Grove Ave,145,237
Chance after Chance,305-309 N Cicero Ave,146,241
Chicago Child Care Society - Hyde Park,5467 S University Ave,147,934
Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St,148,242
Chicago Commons Association - NIA Family Center,744 N Monticello Ave,149,243
Chicago Commons Association - Paulo Freire Family Center,1653 W 43rd St,150,244
Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave,151,245
Chicago Youth Centers - ABC Polk Brothers Early Childhood Program,3415 W 13th Pl,152,197
Chicago Youth Centers - Centro Nuestro,3222 W Division St,153,235
Chicago Youth Centers - Dorothy Gautreaux,975 E 132nd St,154,266
Chicago Youth Centers - Fellowship House,844 W 32nd St,155,267
Chicago Youth Centers - Rebecca K. Crown,7601 S Phillips Ave,156,269
Children's Center,12803 S Halsted Ave,157,923
Children's Center for Creative Learning - Western,7954-58 S Western Ave,158,427
