site_name,q_stmt,q_stmt_en,ages,ecm_key,q_rating,q_stmt_es,is_part_day,id,neighborhood_id,prg_hours,city,site_type,zip,placeholder_2,state,is_full_week,is_age_lt_3,geom,availability,is_age_gt_3,is_community_based,is_school_year,email,accred,is_hs,curriculum,language_1,language_3,language_2,is_part_week,phone,accept_ccap,address,accepted,is_ehs,is_full_day,is_full_year,url,enrollment,enrollment_en,is_home_visiting,curriculum_es,curriculum_en,open_house_en,placeholder_1,open_house,open_house_es,enrollment_es,is_cps_based
Ada S. McKinley Community Services - Roseland,<p>Roseland is located in the Roseland community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.We are committed to achieving positive outcomes for our children and families.</p>,<p>Roseland is located in the Roseland community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.We are committed to achieving positive outcomes for our children and families.</p>,3 - 5,103,Gold,,False,204,143,7:00 am - 6:00 pm,Chicago,0,60628,,IL,False,False,POINT (-87.6199489999999770 41.6869259999999784),High,True,True,False,aluna@adasmckinley.org,COA,True,,Spanish,,,False,773-468-1918,True,11400 S Edbrooke Ave,True,False,True,True,http://www.adasmckinley.org,,,False,,,,,,,,False
Young Scholars Developmental Institute,"<p>Our mission at Young Scholars Developmental Institute is to provide professional child care services to meet the needs of families; however, our ultimate purpose is to foster the success of every child, recognizing that every child is unique.</p>","<p>Our mission at Young Scholars Developmental Institute is to provide professional child care services to meet the needs of families; however, our ultimate purpose is to foster the success of every child, recognizing that every child is unique.</p>",0-12,263,Gold,,True,476,159,6:00 AM - 6:00 PM,Chicago,0,60629,,IL,True,True,POINT (-87.7000859999999989 41.7865519999999933),Medium,True,True,True,youngscholars@sbcglobal.net,NAEYC,True,,Spanish,,,False,773-918-1944,True,3038 W 59th St,True,False,True,True,http://youngscholarsdev-inst.net,,,False,,,,,,,,False
South-East Asia Center - International Bridge School,"<p>South-East Asia Center’s International Bridge School
provides learning programs for children ages 2-13.* The Bridge is Gold Rated by
ExceleRate Illinois.  The Bridge is
located  at 5120 North Broadway (a
Chicago-designated  historic landmark
site), one at 1124 West Ainslie Street and another one at 1112 West Foster
Avenue.</p><p>The Bridge provides free parking for commuter parents
wishing to take the nearby el downtown or work in the Broadway-Argyle
neighborhood.  Parents may also bring
their own parents or grandparents to the multicultural Adult Day Care at the
Broadway site.  Free pick up and drop off
for seniors is available as well. The Bridge is located conveniently on
north-south Broadway bus and Red Line routes and a block from east-west Foster
and Lawrence routes. </p><p>The Bridge name derives from its mission of “Building
Cross-Cultural Bridges.” Classes nurture children with English and native
languages, social and emotional development, academic skills, as well as good
health and nutrition practices.  Our
teachers’ credentials traditionally exceed DCFS and CPS guidelines.  </p><p>South-East Asia Center is also well-known in greater Chicago
for its outstanding and comprehensive social services available to Bridge
families.  Alongside our teaching staff,
our dedicated  multilingual human service
staff assist families with services in meeting their challenges in life.</p><p>*Ask about Bridge’s Infant-Toddler Center anticipated to
open in the 2015-2016 school year</p>","<p>South-East Asia Center’s International Bridge School
provides learning programs for children ages 2-13.* The Bridge is Gold Rated by
ExceleRate Illinois.  The Bridge is
located  at 5120 North Broadway (a
Chicago-designated  historic landmark
site), one at 1124 West Ainslie Street and another one at 1112 West Foster
Avenue.</p><p>The Bridge provides free parking for commuter parents
wishing to take the nearby el downtown or work in the Broadway-Argyle
neighborhood.  Parents may also bring
their own parents or grandparents to the multicultural Adult Day Care at the
Broadway site.  Free pick up and drop off
for seniors is available as well. The Bridge is located conveniently on
north-south Broadway bus and Red Line routes and a block from east-west Foster
and Lawrence routes. </p><p>The Bridge name derives from its mission of “Building
Cross-Cultural Bridges.” Classes nurture children with English and native
languages, social and emotional development, academic skills, as well as good
health and nutrition practices.  Our
teachers’ credentials traditionally exceed DCFS and CPS guidelines.  </p><p>South-East Asia Center is also well-known in greater Chicago
for its outstanding and comprehensive social services available to Bridge
families.  Alongside our teaching staff,
our dedicated  multilingual human service
staff assist families with services in meeting their challenges in life.</p><p>*Ask about Bridge’s Infant-Toddler Center anticipated to
open in the 2015-2016 school year</p>",2 - 13 years old,0,Gold,,None,989,174,7:00 AM - 6:00 PM,Chicago,0,60640,,IL,True,True,POINT (-87.6583944043699574 41.9764779389587375),,True,True,None,seaccchildcare@yahoo.com,,False,,Cantonese,Vietnamese,Mandarin,None,773-989-7433,True,1112 W Foster Ave,True,False,True,True,www.se-asiacenter.org,"<p>Visit this location to begin the enrollment process. Many people find it helpful to make a plan to visit. You can make your plan <a href=""http://chicagoearlylearning.org/enroll/plan/989/"" style=""background-color: initial;"">here</a>.</p>",None,False,,,,,,,,False
Federico Garcia Lorca Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,449,Gold,,True,751,120,,Chicago,0,60618,,IL,True,False,POINT (-87.7248079999999959 41.9401039999999767),High,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-534-0950,False,3231 N Springfield Ave,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610541,,,False,,,,,,,,True
Luther Burbank Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 - 5,583,Silver,,True,583,117,,Chicago,0,60639,,IL,True,False,POINT (-87.7815539999999856 41.9174159999999958),High,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-534-3000,False,2035 N Mobile Ave,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609818,,,False,,,,,,,,True
Ada S. McKinley Community Services - Trumbull Park,"<p>We have uniquely been housed in (CHA) Chicago Housing Authority for over 40 years but we welcome those outside the South Deering Community. Our newly renovated program offers Headstart, Childcare, and Pre-k services to children 3-5 years old.Our hours of operation are from 7:00 am to 6:00 pm We are vey familiy oriented and all staff are degreed. We have been featured on channel 11 for change in CHA and provide quality services to children and families. We offer free meals, sliding fees, field trips, parent education, and other comprehensive services to childen including  those with disabilites.</p>","<p>We have uniquely been housed in (CHA) Chicago Housing Authority for over 40 years but we welcome those outside the South Deering Community. Our newly renovated program offers Headstart, Childcare, and Pre-k services to children 3-5 years old.Our hours of operation are from 7:00 am to 6:00 pm We are vey familiy oriented and all staff are degreed. We have been featured on channel 11 for change in CHA and provide quality services to children and families. We offer free meals, sliding fees, field trips, parent education, and other comprehensive services to childen including  those with disabilites.</p>",3 to 5 years old,104,Gold,,False,203,146,7:00 AM - 6:00 PM,Chicago,0,60617,,IL,True,False,POINT (-87.5657569999999907 41.7040539999999709),High,True,True,False,dwebster@adasmckinley.org,"COA, QRS",True,,,,,False,773-978-5341,True,10534 S Oglesby Ave,True,False,True,True,,,,False,,,,,,,,False
Allison's Infant and Toddler Center - Englewood,"<p>Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although, we speak the English language primarily, we have a strong desire to share our differences, some of which stem from the way we learn and which also, contribute to our communal an intellectual richness.
      We believe that a structured program which addresses the development of the child holistically, physical, intellectual, social and emotional make-up will better enhance the child for future endeavors.
      While we want our students to be independent and discerning learners, we also would like them to be team learners as well. Above all, we want our students to be able to apply their skills in the new, the unknown, and the unpredictable. In this way learning can lead to creative solutions to life's challenges.</p>","<p>Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although, we speak the English language primarily, we have a strong desire to share our differences, some of which stem from the way we learn and which also, contribute to our communal an intellectual richness.
      We believe that a structured program which addresses the development of the child holistically, physical, intellectual, social and emotional make-up will better enhance the child for future endeavors.
      While we want our students to be independent and discerning learners, we also would like them to be team learners as well. Above all, we want our students to be able to apply their skills in the new, the unknown, and the unpredictable. In this way learning can lead to creative solutions to life's challenges.</p>",0-6,108,Gold,,True,215,163,6:00 AM - 6:00 PM,Chicago,0,60636,,IL,True,True,POINT (-87.6552069999999901 41.7930849999999765),High,True,True,False,renee24k@aol.com,,True,,,,,True,773-436-3193,True,5522 S Racine Ave,True,False,True,True,http://www.allisonsinfantandtoddler.com,,,False,,,,,,,,False
Allison's Infant and Toddler Center - Park Manor/Greater Grand Crossing,"<p>Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although, we speak the English language primarily, we have a strong desire to share our differences, some of which stem from the way we learn and which also, contribute to our communal an intellectual richness.
      We believe that a structured program which addresses the development of the child holistically, physical, intellectual, social and emotional make-up will better enhance the child for future endeavors.
      While we want our students to be independent and discerning learners, we also would like them to be team learners as well. Above all, we want our students to be able to apply their skills in the new, the unknown, and the unpredictable. In this way learning can lead to creative solutions to life's challenges.</p>","<p>Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although, we speak the English language primarily, we have a strong desire to share our differences, some of which stem from the way we learn and which also, contribute to our communal an intellectual richness.
      We believe that a structured program which addresses the development of the child holistically, physical, intellectual, social and emotional make-up will better enhance the child for future endeavors.
      While we want our students to be independent and discerning learners, we also would like them to be team learners as well. Above all, we want our students to be able to apply their skills in the new, the unknown, and the unpredictable. In this way learning can lead to creative solutions to life's challenges.</p>",0-6,109,Gold,,True,217,165,6:00 AM - 6:00 PM,Chicago,0,60619,,IL,True,True,POINT (-87.6136709999999965 41.7658409999999662),Medium,True,True,False,renee24k@aol.com,,True,,,,,False,773-952-4391,True,440-442 E 71st St,True,True,True,True,http://www.allisonsinfantandtoddler.com,,,False,,,,,,,,False
John C Burroughs Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,527,Gold,,True,589,153,,Chicago,0,60632,,IL,True,False,POINT (-87.6923619999999744 41.8290479999999931),High,True,False,True,readysetenroll@cps.edu,,False,,,,,False,773-535-7226,False,3542 S Washtenaw Ave,True,False,True,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609829,,,False,,,,,,,,True
Salmon P Chase Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>","<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3 to 5,658,Gold,,True,605,121,,Chicago,0,60647,,IL,True,False,POINT (-87.6946679999999787 41.9180420000000069),High,True,False,True,readysetenroll@cps.edu,,True,,,,,False,773-534-4185,False,2021 N Point St,True,False,False,False,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609853,,,False,,,,,,,,True
