Site ID	Site Name	Address	City	State	Zip Code	Phone Number	URL	Ages Served	Ages Zero To Three	Ages Three To Five	Part Day Program	Full Day Program	Full Year Program	School Year Program	Operating Hours	School Based	Community Based	Head Start Program	Accept CCAP	Home Visiting	Other Languages	Other Features	Accreditation	Quality Rating	Slots available
1267	4 Ever Young	441 E 79th St	Chicago	IL	60619	(773)-966-6872			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1299	A-Karrasel	3420 W Fullerton Ave	Chicago	IL	60647	(773)-772-4333			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1292	A-Karrasel-Galewood	5504 W Fullerton Ave	Chicago	IL	60639	(773)-637-1022			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
175	ABC Community Center	3415 W. 13th Pl.		IL	60623	(773)-762-5655			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
426	ABC Preschool	3800 N. Austin Avenue		IL	60634	(773)-685-9033			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1388	Addams	10810 S AVENUE H	Chicago	IL	60617	(773)535-6210			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1389	Agassiz	2851 N SEMINARY AVE	Chicago	IL	60657	(773)534-5725			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1557	Alain Locke Charter	3141 W. Jackson	Chicago	IL		(773)-265-7232			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1191	Albany Child Care Center	5954 S Albany	Chicago	IL	60629	(773)-737-7810			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
529	Albany Park - Ainslie	3401 W. Ainslie		IL	60625	(773)-539-5907			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
217	Albany Park - Kimball	5101 N. Kimball		IL	60625	(773)-509-5657			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
246	Aldridge	630 E. 131ST ST	Chicago	IL	60827	(773)-535-5614			0	0	0	0	0	0	From 00:00 To 00:00	0	0	0	0	0				None	Slots Available
1360	All About Kids Learning Academy	514 E. 75th Street	Chicago	IL	60619	(773)-892-2800			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1058	All Things Are Possible	4014 W. Chicago Ave	Chicago	IL	60651	(773)-489-2464			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1036	Allison's	234 E. 115th Street		IL	60628	(773)-840-4502			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1312	Allison's (On 71st)	440 E 71st St.	Chicago	IL	60619	(773)-952-4391			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1311	Allison's (On Racine)	5522 S Racine	Chicago	IL	60636	(773)-436-3139			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1208	Allison's 71st Street	440 E 71st St.	Chicago	IL	60619	(773)-952-4391			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1020	Allison's Infant & Toddler Center	234 E 115th St	Chicago	IL	60628	(773)-840-4502			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
585	Allison's Infant Toddler	5522 S RACINE		IL	60636	(773)-436-3193			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
156	Altgeld I	941 E. 132nd St.	Chicago	IL	60827	(773)-468-3055			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
637	Appeals for Charities	50 W. 71st St.		IL	60621	(773)-651-5400			0	0	0	0	0	0	From  To 	0	0	0	0	0					Slots Available
1558	Archdiocese of Chicago - St. Bruno	4839 S. Harding Ave.	Chicago	IL		(773)-847-0697			0	0	0	0	0	0	From  To 	0	0	0	0	0					Few or No Slots
