ECMKey|Site_Name|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Location|Agency_Associated_With|Modified_on|Quality_Rating|Availability_Level
100|ABC Preschool|3800 N Austin Ave|Chicago|IL|60634|773-685-9033|www.abcpreschoolchicago.com|2 years to 6 years|1|1|1|1|1|1|7:00am-5:30pm|0|1|0|1|0|Spanish;;|_|_|_|Onward Neighborhood House|16 Sep 2016 13:41:00:000|Licensed|Medium
1000367|Southeast Elementary School|3930 E 105th|Chicago|IL|60617-6335|(773)-535-8040|http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610586 |_|0|1|0|0|0|1|_|1|0|0|0|0|_|_|_|_|Chicago Public Schools|07 Oct 2016 12:15:18:000|_|Low
1000368|Children's Developmental Institute - South Shore|7037 S Stony Island Ave|Chicago|IL|60649|(773)-363-3200|_|_|0|0|0|0|0|0|_|0|0|0|0|0|_|_|_|_|Childrens Developmental Corporation|26 Oct 2016 13:21:17:000|_|Medium
101|Ada S. McKinley Community Services - Ersula Howard|7222 S Exchange Ave|Chicago|IL|60649|773-221-9711|www.adasmckinley.org|3 years to 5 years|0|1|0|1|1|1|7:00am-6:00pm|0|1|0|1|1|;;|_|COA|_|Ada S McKinley Community Services|23 Sep 2016 09:50:10:000|Gold|Low
102|Ada S. McKinley Community Services - Maggie Drummond|4301 S Wabash Ave|Chicago|IL|60653|773-373-8200|www.adasmckinley.org|2 years to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|COA|_|Ada S McKinley Community Services|07 Oct 2016 12:23:33:000|Gold|Low
103|Ada S. McKinley Community Services - Roseland|11400 S Edbrooke Ave|Chicago|IL|60628|773-468-1918|www.adasmckinley.org|3 years to 5 years|0|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|COA|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Gold|Low
104|Ada S. McKinley Community Services - Trumbull Park|10534 S Oglesby Ave|Chicago|IL|60617|773-978-5341|www.adasmckinley.org|3 years to 5 years|0|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|COA|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Gold|Low
107|All About Kids Learning Academy|514 E 75th St|Chicago|IL|60619|773-892-2800|www.allaboutkidslearning.com|6 weeks to 5 years|1|1|0|1|1|1|6:30am-6:00pm|0|1|0|1|0|;;|_|_|_|Ada S McKinley Community Services|28 Sep 2016 11:47:53:000|Silver|Low
108|Allison's Infant and Toddler Center - Englewood|5522 S Racine Ave|Chicago|IL|60636|773-436-3193|http://www.allisonsinfantandtoddler.com|0 years to 6 years|1|1|1|1|1|0|6:00am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Allisons Infant and Toddler Center|16 Sep 2016 13:53:07:000|Gold|High
109|Allison's Infant and Toddler Center - Park Manor/Greater Grand Crossing|440-442 E 71st St|Chicago|IL|60619|773-952-4391|www.allisonsinfantandtoddlercenter.com|6 weeks to 5 years|1|1|1|1|1|0|6:00am-6:00pm|0|1|0|1|0|;;|_|"Awards of Excellence, NAEYC"|_|Allisons Infant and Toddler Center|07 Oct 2016 12:26:24:000|Gold|Low
110|Allison's Infant and Toddler Center - Roseland|234 E 115th St|Chicago|IL|60628|773-840-4502|www.allisonsinfantandtoddlercenter.com|6 weeks to 12 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|"Awards of Excellence, NAEYC"|_|Allisons Infant and Toddler Center|16 Sep 2016 13:41:00:000|Gold|Low
111|Archdiocese of Chicago - Augustus Tolton|7120 S Calumet Ave|Chicago|IL|60619|773-224-3811|www.toltonacademy.org|3 years to 8 grade|0|1|0|1|0|1|8:00am-3:30pm|0|1|0|1|0|;;|_|_|_|Archdiocese of Chicago|08 Oct 2016 11:15:41:000|Licensed|Medium
112|Archdiocese of Chicago - Epiphany|4223 W 25th St|Chicago|IL|60623|773.762.1542|www.epiphanychicago.org|3 years to 8 grade|0|1|0|1|0|1|8:00am-3:00pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
113|Archdiocese of Chicago - Maternity BVM|1537 N Lawndale Ave|Chicago|IL|60651|773-227-1140|www.maternitybvmchicago.com|3 years to 8 grade|0|1|0|1|0|1|8:00am-3:00pm|0|1|0|1|0|Spanish;;|_|AdvanceEd NCA|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
114|Archdiocese of Chicago - Our Lady of Grace|2446 N Ridgeway Ave|Chicago|IL|60647|773-342-0170|www.olgchicago.org|3 years to 5 years|0|1|0|1|0|1|7:45am-2:45pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
115|Archdiocese of Chicago - Our Lady of Tepeyac|2235 S Albany Ave|Chicago|IL|60623|773-522-0024|www.tepeyacelementary.org|3 years to 4 years|0|1|0|1|0|1|7:50am-3:00pm|0|1|0|1|0|;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
116|Archdiocese of Chicago - Our Lady of the Snow|4810 S Leamington Ave|Chicago|IL|60638|773-735-4810|www.ourladyofsnowschicago.org|3 years to 8 grade|0|1|0|1|0|1|6:30am-5:45pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Medium
117|Archdiocese of Chicago - Pope John Paul II|4325 S Richmond Ave|Chicago|IL|60632|773-523-6161|www.pjpiischool.com|3 years to 8 grade|0|1|1|1|0|1|7:45am-2:45pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
118|Archdiocese of Chicago - Queen of the Universe|7130 S Hamlin Ave|Chicago|IL|60629|773-582-4266|www.qofu.org|3 years to 4 years|0|1|0|1|0|1|7:45am-3:00pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
119|Archdiocese of Chicago - St. Agnes of Bohemia|2643 S Central Park Ave|Chicago|IL|60623|773-522-0143|www.school.stagnesofbohemia.org|3 years to 8 grade|0|1|0|1|0|1|7:45am-5:00pm|0|1|0|0|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
120|Archdiocese of Chicago - St. Angela|1332 N Massasoit Ave|Chicago|IL|60651|773-626-2655|www.saintangela.org|3 years to 8 grade|0|1|0|1|0|1|6:00am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Medium
121|Archdiocese of Chicago - St. Ann|2211 W 18th Pl|Chicago|IL|60608|312-829-4153|www.stanncrusaders.org|3 years to 8 grade|0|1|0|1|0|1|7:50am-3:00pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
122|Archdiocese of Chicago - St. Benedict the African|6020 S Laflin St|Chicago|IL|60636|773-776-3316|www.academystbenedict.org/|3 years to 5 years|0|1|0|1|0|1|6:15am-6:15pm|0|1|0|1|0|;;|_|NAEYC|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
123|Archdiocese of Chicago - St. Bruno|4839 S Harding Ave|Chicago|IL|60632|773-847-0697|www.stbruno.com|3 years to 8 grade|0|1|0|1|0|1|7:50am-2:45pm|0|1|0|1|0|Spanish;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
124|Archdiocese of Chicago - St. Ethelreda|8734 S Paulina St|Chicago|IL|60620|773-238-1757|www.stethelreda.org|3 years to 5 years|0|1|0|1|0|1|8:00am-3:00pm|0|1|0|1|0|;;|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
125|Archdiocese of Chicago - St. Gall|5515 S Sawyer Ave|Chicago|IL|60629|773-737-3454|www.stgallschool.com|3 years to 5 years|0|1|0|1|0|1|7:45am-3:00pm|0|1|0|1|0|;;|_|AdvancED|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Medium
127|Archdiocese of Chicago - St. Margaret of Scotland|9833 Throop Street|Chicago|IL|60643|773-238-1088|http://www.stmargaretofscotland.com|3 years to 5 years|0|0|0|1|0|1|6:00 AM - 6:00 PM|0|1|0|1|0|;;|_|Advanced Ed Candidate|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Medium
128|Archdiocese of Chicago - St. Mary of the Lake|1026 W Buena Ave|Chicago|IL|60613|773-281-0018|www.stmary-stthomas.org|3 years to 8 grade|0|1|0|1|0|1|7:45am-2:45pm|0|1|0|1|0|Amharic;;Spanish|_|_|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
129|Archdiocese of Chicago - St. Mary Star of the Sea|6424 S Kenneth Ave|Chicago|IL|60629|773-767-6160|stmarystaroftheseaschool.org|3 years to 8 grade|0|1|0|1|0|1|7:45am-3:00pm|0|1|0|1|0|Spanish;;|_|AdvancED|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
130|Archdiocese of Chicago - St. Nicholas of Tolentine|3741 W 62nd St|Chicago|IL|60629|773-735-0772|www.stnicksschool.com|3 years to 5 years|0|1|0|1|0|1|7:45am-3:00pm|0|1|0|1|0|Spanish;;|_|AdvancEd|_|Archdiocese of Chicago|16 Sep 2016 13:41:00:000|Licensed|Low
