Agency ID	Agency Name	Site ID	Site Name	Address	City	State	Zip Code	Phone Number	URL	Ages Served	Ages Zero To Three	Ages Three To Five	Part Day Program	Full Day Program	Full Year Program	School Year Program	Operating Hours	School Based	Community Based	Head Start Program	Accept CCAP	Home Visiting	Other Languages	Other Features	Accreditation	Universal Application	Quality Rating	Slots available	Site AKA Name	Center Description	Center Description (Spanish)	Neighborhood ID	Neighberhood Name	Geocode Coordinates	Part Week Program	Full Week Program	Early Head Start Program	CEL ID	Email	Curriculum	Community / Region ID	Community / Region Name	Last Update Date	Active	Display On CEL
8	Ada S. McKinley Community Services	1360	All About Kids Learning Academy	514 E. 75th Street	Chicago	IL	60619	(773)-892-2800	http://www.allaboutkidslearningacademy.com	6 weeks to 5 years	1	1	0	1	1	1	From 06:30AM To 06:00PM	0	1	1	1	0				1	Silver	Few or No Slots	All About Kids Learning Academy	<p>At All About Kids Learning Academy we focus on creating a positive environment for everyone involved in the process of developing the foundation for educating our children. We offers an exciting fun-filled learning environment for children between the ages of 6 weeks and 5 years of age.  Our curriculum focuses on language development, intellectual development , social and emotional development, and fine and gross motor skill development. We engage our families and expecting moms and dads-to-be in a variety of parenting workshops, programs and activities. We have a dream team teaching staff who are greatly supported in professional development training,reflective teaching practices, and much more. Come by and see the exciting things going on at All About Kids Learning Academy.</p>		165	Greater Grand Crossing	SRID=4326;POINT (-87.6119459999999890 41.7586829999999836)	0	0	0	213	kidslearning1@yahoo.com		29	GREATER GRAND CROSSING	12-04-2017	1	
8	Ada S. McKinley Community Services	1351	Bunnyland Day Care	545 W 119th St	Chicago	IL	60628	(773)-568-5200		6 weeks to 5 years	1	1	0	0	0	0	From 06:00AM To 06:00PM	0	1	0	0	0				1	Licensed	Slots Available	Ada S. McKinley - Bunnyland Day Care			148	West Pullman	SRID=4326;POINT (-87.6366953334436971 41.6776885773981149)	0	0	0	999	bunnylanddevelopme@sbcglobal.net		72	WEST PULLMAN	12-04-2017	1	
8	Ada S. McKinley Community Services	868	Children's Center (Halsted)	12803 S HALSTED		IL	60628	(773)-264-5171	http://www.thechildrenscenterchicago.org	6 weeks to 3 grade	1	1	0	1	1	1	From 06:00AM To 06:00PM	0	1	1	1	0				1	Licensed	Few or No Slots	Children's Center			148	West Pullman	SRID=4326;POINT (-87.6409730000000309 41.6612079999999665)	0	1	1	923	thechildrenscenter@live.com		72	WEST PULLMAN	12-04-2017	1	
8	Ada S. McKinley Community Services	869	Children's Center (Western)	7956 S. Western		IL	60620	(773)-471-4927	http://www.childrenscenterchicago.com	6 weeks to 5 years	1	1	0	1	1	1	From 07:00AM To 06:00PM	0	1	1	1	0				1	Licensed	Slots Available	Children's Center for Creative Learning - Western	<p>The Children's Center for Creative Learning is a dedicated to providing a nurturing and stimulating environment while catering to the development of the whole child.  We foster the love of learning and take pride in the foundation we create to produce life-long learners.</p>		167	Ashburn	SRID=4326;POINT (-87.6831949999999694 41.7484190000000055)	0	1	0	427	cwright@adasmckinley.org		4	ASHBURN	12-04-2017	1	
8	Ada S. McKinley Community Services	1319	Dream Child Development	1836 W 87th St	Chicago	IL	60620	(773)-445-5100		6 weeks to 5 years	1	1	0	0	0	0	From 06:30AM To 06:00PM	0	1	0	0	0				1	Licensed	Few or No Slots	Ada S. McKinley - Dream Child Development			168	Auburn Gresham	SRID=4326;POINT (-87.6693753680762171 41.7358871459764273)	0	0	0	1000	dreamchild1836@gmail.com		5	AUBURN GRESHAM	12-04-2017	1	
8	Ada S. McKinley Community Services	1350	Heaven's Learning Garden	7801 S Wolcott	Chicago	IL	60620	(773)-994-5437		6 weeks to 12 years	1	1	0	0	0	0	From 06:00AM To 06:00PM	0	1	0	0	0				1	Licensed	Few or No Slots	Ada S. McKinley - Heaven's Learning Garden			168	Auburn Gresham	SRID=4326;POINT (-87.6709417781402607 41.7522174862521638)	0	0	0	1001	howarddenieke@yahoo.com		5	AUBURN GRESHAM	12-04-2017	1	
8	Ada S. McKinley Community Services	1298	J & L Family Learning Day Care	11640 South Wentworth Ave	Chicago	IL	60628	(773)-821-1808		6 weeks to 12 years	1	1	0	1	1	1	From 06:00AM To 08:00PM	0	1	1	0	0				1	Licensed	Slots Available	Ada S. McKinley - J & L Family Learning Day Care			148	West Pullman	SRID=4326;POINT (-87.6277297999999831 41.6822563999999787)	0	1	0	924	denisestewart1974@gmail.com		72	WEST PULLMAN	12-04-2017	1	
8	Ada S. McKinley Community Services	1318	Little Folks Cottage	5926 W Madison Ave	Chicago	IL	60644	(773)-379-4419		6 weeks to 5 years	1	1	0	0	0	0	From 06:00AM To 06:00PM	0	1	0	0	0				1	Licensed	Few or No Slots	Ada S. Mckinley - Little Folks Cottage			124	Austin	SRID=4326;POINT (-87.7730266532346093 41.8803302631199301)	0	0	0	1002	C_Jackson02@yahoo.com		6	AUSTIN	12-04-2017	1	
8	Ada S. McKinley Community Services	903	Little Genius	11439 S Michigan Ave		IL	60628	(773)-629-8091	http://www.adasmckinley.org	2 years to 8 years	1	1	0	0	0	0	From 06:00AM To 08:00PM	0	1	1	1	0				1	Silver	Few or No Slots	Ada S. McKinley - Little Genius	<p>Little Geniusprovides a high-quality, age specific early education and family support program for working parents that fosters children's developmental, intellectual and social growth in an environment that is safe, nurturing, affectionate and fun.</p>		143	Roseland	SRID=4326;POINT (-87.6204780000000056 41.6859239999999858)	0	0	0	202			60	ROSELAND	12-04-2017	1	
8	Ada S. McKinley Community Services	1349	Little Genius 2	1000 W 103rd St	Chicago	IL	60643	(773)-629-8003		2 years to 12 years	1	1	0	0	0	0	From 06:00AM To 09:00PM	0	1	0	0	0				1	Licensed	Few or No Slots	Ada S. McKinley - Little Genius 2			170	Washington Heights	SRID=4326;POINT (-87.6478747806162488 41.7070267282539930)	0	0	0	1003	hazel60419@yahoo.com		66	WASHINGTON HEIGHTS	12-04-2017	1	
8	Ada S. McKinley Community Services	576	Little Hands	7146 S Ashland		IL	60636	(773)-471-0662		2 years to 5 years	1	1	1	1	1	1	From 06:00AM To 06:00PM	0	1	1	1	1				1	Gold	Few or No Slots	Little Hands Child Creative Center	<p>Little Hands mission is to provide high-quality service to children ages 2 to 5 years old in a safe, highly engaged learning environment. We are committed to providing an age-appropriate developmental program which address physical, intellectual, social and emotional skills to better enhance our children for a well-rounded foundation. We actively engage with our students getting them ready for transition to kindergarten. We carry out this mission by providing a high standard of excellence and strong curriculum recognized by National Association for the Education of Young Children (we're NAEYC accredited), Illinois State Board Certified Teachers, access to social workers, health and nutritional consultants, and partnerships with various agencies such as Chicago Public School and Head Start.</p>		163	West Englewood	SRID=4326;POINT (-87.6639480000000049 41.7635459999999981)	1	1	1	337	crystl_field@yahoo.com		69	WEST ENGLEWOOD	12-04-2017	1	
8	Ada S. McKinley Community Services	1361	Love N Learn Academy	723 E. 75th St	Chicago	IL	60619	(773)-723-0338	http://www.henryboothhouse.org	6 weeks to 5 years	1	1	0	0	1	0	From 06:00AM To 06:00PM	0	1	1	1	0				0	Licensed	Slots Available	Henry Booth House - Love N Learn Academy	<p>HBH provides Head Start services for income eligible children living within the City of Chicago in a number of community areas located on the City's South, Northwest and West side of Chicago to include 19 aldermanic wards. </p><p>Henry Booth House is a nonprofit, community-based agency dedicated toward improving the quality of life for culturally and economically diverse families by providing comprehensive, early childhood education and social services, including a Head Start Program. HBH owns two center-based sites; one located in Near South community with a majority of the families speaking Madarin and Cantonese and another site located in Hegewsich community serving a large population of Spanish speaking children: with a collaborative relationship with 30 community partner sites operating half-day Head Start programming in collaboration with child care. Through collaborations children and families are afforded a full day experience in preparation for kindergarten readiness. The community partner programs receive monitoring, training and technical assistance from HBH managers and coordinators to ensure quality programs.</p>		165	Greater Grand Crossing	SRID=4326;POINT (-87.6068039999999826 41.7583249999999921)	0	0	0	520	tessmckenzie@yahoo.com		29	GREATER GRAND CROSSING	12-04-2017	1	
8	Ada S. McKinley Community Services	135	McKinley-Ersula Howard	7222 S. Exchange Ave	Chicago	IL	60649	(773)-221-9711	http://www.adasmckinley.org	3 years to 5 years	0	1	0	1	1	1	From 07:00AM To 06:00PM	0	1	1	1	1				1	Gold	Slots Available	Ada S. McKinley Community Services - Ersula Howard	<p>Ersula Howard is located in the South shore community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program and the Chicago Public School Community Partnership's Preschool for All Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.   We have partnered with other agencies like ABJ Community Services, an agency which provides a variety of services in South shore. We are committed to achieving positive outcomes for our children and families.</p>		137	South Shore	SRID=4326;POINT (-87.5646089999999617 41.7638309999999890)	0	1	0	205			64	SOUTH SHORE	12-04-2017	1	
8	Ada S. McKinley Community Services	134	McKinley-Maggie Drummond	4301 S. Wabash		IL	60653	(773)-373-8200	http://www.adasmckinley.org	2 years to 5 years	1	1	0	1	0	1	From 07:00AM To 06:00PM	0	1	1	1	0				1	Gold	Slots Available	Ada S. McKinley Community Services - Maggie Drummond	<p>Maggie Drummond offers comprehensive services for the whole family.  We welcome children with all levels of abilities and challenges and all family dynamics.  We strive for a partnership with parents, recognizing that they are their child's first and most important teacher.  Maggie Drummond is a place where everyone can Learn, Play and Grow!</p>		102	Grand Boulevard	SRID=4326;POINT (-87.6246369999999928 41.8164859999999905)	0	1	1	346			28	GRAND BOULEVARD	12-04-2017	1	
8	Ada S. McKinley Community Services	136	McKinley-Roseland	11410 S. Edbrooke		IL	60628	(773)-468-1918	http://www.adasmckinley.org	3 years to 5 years	0	1	0	1	0	1	From 07:00AM To 06:00PM	0	1	1	1	0	Spanish			1	Gold	Few or No Slots	Ada S. McKinley Community Services - Roseland	<p>Roseland is located in the Roseland community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program. We have partnered with Teach for America to ensure that we have qualified teachers in our classrooms.We are committed to achieving positive outcomes for our children and families.</p>		143	Roseland	SRID=4326;POINT (-87.6199489999999770 41.6869259999999784)	0	0	0	204			60	ROSELAND	12-04-2017	1	
8	Ada S. McKinley Community Services	138	McKinley-Trumbull Park	10534 S. Oglesby		IL	60617	(773)-978-5341	http://www.adasmckinley.org	3 years to 5 years	0	1	0	1	0	1	From 07:00AM To 06:00PM	0	1	1	1	0				1	Gold	Few or No Slots	Ada S. McKinley Community Services - Trumbull Park	<p>We have uniquely been housed in (CHA) Chicago Housing Authority for over 40 years but we welcome those outside the South Deering Community. Our newly renovated program offers Headstart, Childcare, and Pre-k services to children 3-5 years old.Our hours of operation are from 7:00 am to 6:00 pm We are vey familiy oriented and all staff are degreed. We have been featured on channel 11 for change in CHA and provide quality services to children and families. We offer free meals, sliding fees, field trips, parent education, and other comprehensive services to childen including  those with disabilites.</p>		146	South Deering	SRID=4326;POINT (-87.5657569999999907 41.7040539999999709)	0	1	0	203			62	SOUTH DEERING	12-04-2017	1	
8	Ada S. McKinley Community Services	1353	New Knowledge Learning Center	8440 S Kedzie Ave	Chicago	IL	60652	(773)-436-8150		2 years to 6 years	1	1	0	0	0	0	From 06:30AM To 06:00PM	0	1	0	0	0				1	Licensed	Slots Available	Ada S. McKinley - New Knowledge Learning Center			167	Ashburn	SRID=4326;POINT (-87.7022431573405044 41.7394777755020030)	0	0	0	1004			4	ASHBURN	12-04-2017	1	
8	Ada S. McKinley Community Services	1297	Precious Little Ones - 47th	624-626 E.  47TH sT	Chicago	IL	60653	(773)-268-2685		6 weeks to 3 years	1	1	0	0	0	0	From 06:00AM To 06:00PM	0	1	0	0	0				1	Licensed	Slots Available	Ada S. McKinley - Precious Little Ones (47th)			102	Grand Boulevard	SRID=4326;POINT (-87.6103721341753641 41.8095808737730721)	0	0	0	1005	preciouslittleone@comcast.net		28	GRAND BOULEVARD	12-04-2017	1	
