site_name,copa_id
Henry Booth House - 4 Ever Young,1267
Easter Seals - A-Karrasel,1299
Easter Seals - A-Karrasel Galewood,1292
Chicago Youth Centers - ABC Polk Brothers Early Childhood Program,175
Jane Addams Elementary School,1388
Louis A Agassiz Elementary School,1389
Alain Locke Charter School,1557
Improved Child Care - Albany Child Care,1191
Albany Park Community Center - Ainslie,529
Kimball Head Start,217
Ira F Aldridge Elementary School,246
All About Kids Learning Academy,1360
Salvation Army - All Things are Possible,1058
Allison's Infant and Toddler Center - Roseland,1036
Allison's Infant and Toddler Center - Englewood,1311
Allison's Infant and Toddler Center - Roseland,1020
Allison's Infant and Toddler Center - Englewood,585
Centers for New Horizons - Altgeld Gardens Early Learning Center,156
Appeals for Charities,637
Archdiocese of Chicago - St. Bruno,1558
Archdiocese of Chicago - Epiphany,1560
Archdiocese of Chicago - Our Lady of Grace,1561
Archdiocese of Chicago - Our Lady of Tepeyac,1562
Archdiocese of Chicago - Our Lady of the Snow,1563
Archdiocese of Chicago - Pope John Paul II,1564
Archdiocese of Chicago - Queen of the Universe,1565
Archdiocese of Chicago - St. Agnes of Bohemia,1566
Archdiocese of Chicago - St. Angela,1567
Archdiocese of Chicago - St. Ann,1568
Archdiocese of Chicago - St. Benedict the African,1569
Archdiocese of Chicago - St. Mary Star of the Sea,1571
Archdiocese of Chicago - St. Richard,1573
Archdiocese of Chicago - Visitation,1575
Archdiocese of Chicago - Maternity BVM,1276
Archdiocese of Chicago - St. Ethelreda,1280
Archdiocese of Chicago - St. Mary of the Lake,1279
Mary Crane League - Archdiocese St Nicolas of Tolentine,1277
Archdiocese of Chicago - St. Sabina,1274
University of Chicago - North Kenwood Oakland,1390
George Armstrong International Studies ES,1392
John J Audubon Elementary School,1394
Lutheran Social Services - Austin Town Hall,1246
Mariano Azuela Elementary School,1049
Alice L Barnard Computer Math & Science Center Elementary School,1395
Clara Barton Elementary School,640
Newton Bateman Elementary School,254
BBF Family Service,94
Daniel C Beard Elementary School,1397
Jean Baptiste Beaubien Elementary School,1399
Ludwig Van Beethoven Elementary School,256
Jacob Beidler Elementary School,258
Frank I Bennett Elementary School,1402
Betty's Daycare,1102
James G Blaine Elementary School,1403
Blair Early Childhood Center,1404
Carrie Jacobs Bond Elementary School,262
Daniel Boone Elementary School,1168
Edward A Bouchet Math & Science Academy ES,1169
Myra Bradwell Communications Arts & Sciences ES,265
Joseph Brennemann Elementary School,1405
Lorenz Brentano Math & Science Academy ES,1406
Norman A Bridge Elementary School,1407
Orville T Bright Elementary School,1408
Brighton Park Elementary School,1409
Ronald Brown Elementary Community Academy,267
William H Brown Elementary School,1410
Charles S Brownell Elementary School,1411
Milton Brunson Math & Science Specialty ES,268
Lyman A Budlong Elementary School,1412
Building Blocks Learning Academy,1325
Ada S. McKinley - Bunnyland Day Care,1351
Luther Burbank Elementary School,1413
Edmond Burke Elementary School,270
Burnham Elementary Inclusive Academy,1414
Burnside Elementary Scholastic Academy,1415
Jonathan Burr Elementary School,1416
Busy Bees Child Development Center,1161
Easter Seals - Busy Bees II,1245
Calmeca Academy of Fine Arts and Dual Language,1417
Daniel R Cameron Elementary School,271
Marvin Camras Elementary School,1418
Arthur E Canty Elementary School,1419
El Valor - Carlos H Cantu Cihldren & Family Center,649
Andrew Carnegie Elementary School,1420
Carole Robertson Center for Learning - 19th Street,210
Carole Robertson Center for Learning - Ogden,87
Carole Robertson Center for Learning - Roosevelt,211
William W Carter Elementary School,274
Casa Central - Early Learning Academy,1576
Pablo Casals Elementary School,1423
Willa Cather Elementary School,275
El Valor - Centro Infantil Puerto Rican Community Center,615
Chicago Youth Centers - Centro Nuestro,176
Thomas Chalmers Specialty Elementary School,276
Channing's Child Care,980
Eliza Chappell Elementary School,1424
Salmon P Chase Elementary School,277
Chicago Academy Elementary School,1426
Catholic Charities - Chicago Lawn Child Development Center,140
Chicago Lighthouse for People who are Blind or Visually Impaired,1578
Children's Center,868
Children's Developmental Institute - South Shore,1579
Children's Center for Creative Learning - Kedzie,1580
Children's Home & Aid Freidheim Child and Family Center,1581
Children's International Academy,1021
Children's Place Association - Home-based,1583
El Valor - Children's World,1221
Chipper Preschool and Kindergarten,979
Frederic Chopin Elementary School,247
Christopher House - Belmont Cragin,1220
Christopher House - Logan Square,225
Christopher House - Uptown,228
City Colleges of Chicago - Olive Harvey,127
Claremont Academy Elementary School,503
George Rogers Clark Elementary School,1427
Henry Clay Elementary School,1428
Grover Cleveland Elementary School,248
DeWitt Clinton Elementary School,1429
Johnnie Colemon Elementary Academy,1430
Edward Coles Elementary Language Academy,1356
Columbia Explorers Elementary Academy,516
Christopher Columbus Elementary School,1431
Concordia Place - Whipple,1585
John W Cook Elementary School,252
Peter Cooper Elementary Dual Language Academy,255
Daniel J Corkery Elementary School,946
Salvation Army - Creative Little Ones,1104
Richard J Daley Elementary Academy,947
Charles R Darwin Elementary School,1433
Charles Gates Dawes Elementary School,1434
Jose De Diego Elementary Community Academy,1435
Charles S Deneen Elementary School,641
Oscar DePriest Elementary School,948
Robert Nathaniel Dett Elementary School,1180
William E Dever Elementary School,1436
Gad's Hill Center - Diana's Playpen of Little Geniuses,1227
Everett McKinley Dirksen Elementary School,1437
Walt Disney Magnet Elementary School,1438
Walt Disney II Magnet School,1439
Diversey Daycare,976
Arthur Dixon Elementary School,1440
John C Dore Elementary School,1441
Chicago Youth Centers - Dorothy Gautreaux,177
Dorsey Developmental Institute,1586
Trinity United Church of Christ - Deton Brooks,17
Ada S. McKinley - Dream Child Development,1319
William E B Dubois Elementary School,963
Dunne Technology Academy,1442
Durkin Park Elementary School,1443
Charles W Earle Elementary School,1358
Eastside Child Development Center,1268
Edison Park Elementary School,1444
Richard Edwards Elementary School,950
Centers for New Horizons - Effie O. Ellis Early Learning Center,578
Edward K Ellington Elementary School,298
Leif Ericson Elementary Scholastic Academy,1170
Erie Neighborhood House,69
Erie Neighborhood House - Erie House,68
Erie Neighborhood House - Charter School SA,626
Fussy Baby Network,1588
Edward Everett Elementary School,1171
Eyes on the Future,1054
Fairfield Elementary Academy,1445
Fairyland Nursery School,1589
Family Focus - Lawndale,1300
Family Focus - Nuestra Familia,1302
Family Child Care Home,203
James B Farnsworth Elementary School,1446
David G Farragut Career Academy High School,1447
Chicago Youth Centers - Fellowship House,178
Fernwood Elementary School,1152
Fifth City,520
William F Finkl Elementary School,951
Firman House West ,63
First Start Children's Academy,572
Chicago Youth Centers - First Step Learning Daycare,1366
John Fiske Elementary School,1181
Fort Dearborn Elementary School,1172
Foster Park Elementary School,1448
Robert Fulton Elementary School,287
Frederick Funston Elementary School,952
Joseph E Gary Elementary School,291
Chicago Youth Centers - George E. Taylor,181
Gads Hill Center - Archer Children's Program,1382
Gads Hill Center - Cullerton,59
Gads Hill Center - Ogden,579
Easter Seals Metropolitan Chicago - Gilchrist Marchman,1247
Frank L Gillespie Elementary School,1449
Henry Booth House - Gina's Unbelievable,1032
Johann W von Goethe Elementary School,1450
William C Goudy Technology Academy,296
Chicago Youth Centers - Graham Crackers,1321
Horace Greeley Elementary School,1452
Wendell E Green Elementary School,1453
Nathanael Greene Elementary School,1454
