site_name,portal_id,copa_id
Henry Booth House - 4 Ever Young,948,1267
Easter Seals - A-Karrasel Galewood,939,1292
Chicago Youth Centers - ABC Polk Brothers Early Childhood Program,197,175
ABC Preschool,198,426
Jane Addams Elementary School,543,1431
Louis A Agassiz Elementary School,544,1432
Improved Child Care - Albany Child Care,210,1191
Albany Park - Kimball,XXXXXX,217
Ira F Aldridge Elementary School,546,246
All About Kids Learning Academy,213,1360
Allison's (On 71st),217,1312
Allison's Infant and Toddler Center - Englewood,215,1311
Allison's Infant and Toddler Center - Roseland,218,1020
Centers for New Horizons - Altgeld Gardens Early Learning Center,236,156
Appeals for Charities,1006,637
Archdiocese of Chicago - St. Bruno,400,1601
Archdiocese of Chicago-Augustus Tolton,401,1602
Archdiocese of Chicago - Epiphany,283,1603
Archdiocese of Chicago - Our Lady of Grace,374,1604
Archdiocese of Chicago - Our Lady of Tepeyac,377,1605
Archdiocese of Chicago - Our Lady of the Snow,380,1606
Archdiocese of Chicago - Pope John Paul II,385,1607
Archdiocese of Chicago - Queen of the Universe,386,1608
Archdiocese of Chicago - St. Agnes of Bohemia,398,1609
Archdiocese of Chicago - St. Angela,399,1610
Archdiocese of Chicago - St. Ann,392,1611
Archdiocese of Chicago - St. Benedict the African,201,1612
Archdiocese of Chicago-St. Gall,406,1613
Archdiocese of Chicago - St. Mary Star of the Sea,412,1614
Archdiocese of Chicago-St. Philip Neri,414,1615
Archdiocese of Chicago - St. Richard,415,1616
Archdiocese of Chicago-St. Sylvester,418,1617
Archdiocese of Chicago - Maternity BVM,355,1276
Archdiocese of Chicago - St. Ethelreda,405,1280
Archdiocese of Chicago - St. Mary of the Lake,410,1279
Mary Crane League - Archdiocese St Nicolas of Tolentine,983,1277
Archdiocese of Chicago - St. Sabina,417,1274
Ariel Elementary Community Academy,547,1433
Phillip D Armour Elementary School,548,1434
George Armstrong International Studies ES,549,1435
Ashburn,550,1436
Ashe,XXXXXX,1671
Asian Human Services (Leaf Program Daycare Center),XXXXXX,1386
Asian Human Services - LEAF program,222,1412
John J Audubon Elementary School,551,1437
Lutheran Social Services - Austin Town Hall,997,1246
Avalon Park Elementary School,552,1402
Mariano Azuela Elementary School,553,1049
Alice L Barnard Computer Math & Science Center Elementary School,554,1438
John Barry Elementary School,555,1439
Clara Barton Elementary School,556,640
Bass,557,1167
Newton Bateman Elementary School,558,254
Daniel C Beard Elementary School,559,1440
Beasley,560,1441
Jean Baptiste Beaubien Elementary School,561,1442
Ludwig Van Beethoven Elementary School,562,256
Jacob Beidler Elementary School,563,258
Hiram H Belding Elementary School,564,1443
Belmont-Cragin Elementary School,565,1444
Frank I Bennett Elementary School,566,1445
Betty's Daycare,227,1102
James G Blaine Elementary School,567,1446
Blair Early Childhood Center,568,1447
Carrie Jacobs Bond Elementary School,569,262
Daniel Boone Elementary School,570,1168
Edward A Bouchet Math & Science Academy ES,571,1169
Myra Bradwell Communications Arts & Sciences ES,572,265
Brain Box,XXXXXX,1394
Joseph Brennemann Elementary School,573,1448
Lorenz Brentano Math & Science Academy ES,574,1449
Norman A Bridge Elementary School,575,1450
Orville T Bright Elementary School,576,1451
Brighton Park Elementary School,577,1452
Ronald Brown Elementary Community Academy,578,267
William H Brown Elementary School,579,1453
Charles S Brownell Elementary School,580,1454
Milton Brunson Math & Science Specialty ES,581,268
Lyman A Budlong Elementary School,582,1455
Building Blocks Learning Academy,230,1325
Building Blocks Learning Academy II,XXXXXX,1384
Ada S. McKinley - Bunnyland Day Care,999,1351
Luther Burbank Elementary School,583,1456
Edmond Burke Elementary School,584,270
Burnham Elementary Inclusive Academy,586,1457
Burnside Elementary Scholastic Academy,587,1458
Jonathan Burr Elementary School,588,1459
John C Burroughs Elementary School,589,1414
Busy Bees Child Development Center,231,1161
Easter Seals - Busy Bees II,943,1245
Charles P Caldwell Academy of Math & Science ES,590,1403
Calmeca Academy of Fine Arts and Dual Language,591,1460
Daniel R Cameron Elementary School,592,271
Marvin Camras Elementary School,593,1461
Arthur E Canty Elementary School,594,1462
Cardenas,595,272
El Valor - Carlos H Cantu Cihldren & Family Center,478,649
Andrew Carnegie Elementary School,596,1463
Carole Robertson Center for Learning - 19th Street,481,210
Carole Robertson Center for Learning - Ogden,233,87
Carroll,597,1464
Carson,598,945
William W Carter Elementary School,599,274
Carver G,600,1465
Casa Central - Early Learning Academy,234,1619
Pablo Casals Elementary School,601,1466
Willa Cather Elementary School,602,275
El Valor - Centro Infantil Puerto Rican Community Center,497,615
Chicago Youth Centers - Centro Nuestro,235,176
Thomas Chalmers Specialty Elementary School,603,276
Chance After Chance,241,1620
Channing's Child Care,240,980
Eliza Chappell Elementary School,604,1467
Salmon P Chase Elementary School,605,277
Cesar E Chavez Multicultural Academic Center ES,606,1468
Chicago Academy Elementary School,607,1469
Catholic Charities - Chicago Lawn Child Development Center,246,140
Chicago Lighthouse for People who are Blind or Visually Impaired,993,1621
Children's Center,923,868
Children's Center (Western),427,869
Children's Developmental Institute - South Shore,1021,1622
Children's Home & Aid Freidheim Child and Family Center,282,1624
Children's International Academy,250,1021
Children's Place Association-Humboldt Park,429,1625
El Valor - Children's World,952,1221
Chinese American Service League Child Dev Ctr,491,432
Chipper Preschool and Kindergarten,253,979
Frederic Chopin Elementary School,608,247
Christopher House - Belmont Cragin,255,1220
Christopher House - Logan Square,257,225
Christopher House - Uptown,259,228
Church of God Community Day Care,260,82
City Colleges - Daley College,918,905
City Colleges - Kennedy-King College,917,129
City Colleges - Malcolm X College,920,128
City Colleges of Chicago - Olive Harvey,919,127
City Colleges - Truman College,915,126
Claremont Academy Elementary School,609,503
George Rogers Clark Elementary School,610,1470
Henry Clay Elementary School,611,1471
Grover Cleveland Elementary School,612,248
DeWitt Clinton Elementary School,613,1472
Johnnie Colemon Elementary Academy,614,1473
Edward Coles Elementary Language Academy,615,1356
Columbia Explorers Elementary Academy,921,516
Christopher Columbus Elementary School,616,1474
Concordia Place - Seeley,263,1628
Concordia Place - Whipple,262,1629
John W Cook Elementary School,617,252
Peter Cooper Elementary Dual Language Academy,618,255
Daniel J Corkery Elementary School,619,946
Courtenay,620,1475
Salvation Army - Creative Little Ones,535,1104
Creative Little Ones (Halsted),954,1372
Crown,621,1305
Crystal Palace,956,1124
Cuddle Care Academy,488,1094
Paul Cuffe Math-Science Technology Academy ES,622,1415
Curtis,624,259
Richard J Daley Elementary Academy,625,947
Charles R Darwin Elementary School,626,1476
Davis N,627,1052
Charles Gates Dawes Elementary School,628,1477
Jose De Diego Elementary Community Academy,629,1478
Charles S Deneen Elementary School,632,641
Oscar DePriest Elementary School,631,948
Robert Nathaniel Dett Elementary School,633,1180
William E Dever Elementary School,634,1479
Dewey,635,1232
Gad's Hill Center - Diana's Playpen of Little Geniuses,963,1227
Everett McKinley Dirksen Elementary School,636,1480
Walt Disney Magnet Elementary School,637,1481
Walt Disney II Magnet School,638,1482
Diversey Daycare,483,976
Arthur Dixon Elementary School,639,1483
Doolittle,641,288
John C Dore Elementary School,642,1484
Chicago Youth Centers - Dorothy Gautreaux,266,177
Dorsey Developmental Institute,274,1630
Trinity United Church of Christ - Deton Brooks,438,17
John B Drake Elementary School,643,1416
Ada S. McKinley - Dream Child Development,1000,1319
William E B Dubois Elementary School,644,963
Dulles,645,290
Dunne Technology Academy,646,1485
Durkin Park Elementary School,647,1486
Dvorak,648,292
Charles W Earle Elementary School,649,1358
Early Child Care Services,421,1631
Eastside Child Development Center,278,1268
Richard Edwards Elementary School,653,950
Centers for New Horizons - Effie O. Ellis Early Learning Center,237,578
Edward K Ellington Elementary School,654,298
Leif Ericson Elementary Scholastic Academy,655,1170
Erie Neighborhood House,507,69
Erie Neighborhood House - Erie House,1012,68
Erie Neighborhood House - Charter School SA,1011,626
Esmond,656,302
Edward Everett Elementary School,657,1171
Medgar Evers Elementary School,658,1404
Eyes on the Future,284,1054
Fairfield Elementary Academy,659,1488
Fairyland Nursery School,286,1633
Laughlin Falconer Elementary School,660,305
Faraday,529,307
James B Farnsworth Elementary School,662,1489
David G Farragut Career Academy High School,663,1490
Chicago Youth Centers - Fellowship House,267,178
Fernwood Elementary School,664,1152
Fifth City,292,520
William F Finkl Elementary School,665,951
First Start Children's Academy,293,572
First Start Children's Academy South,294,1100
Chicago Youth Centers - First Step Learning Daycare,1015,1366
John Fiske Elementary School,666,1181
Foresight Children's Learning Center Inc.,XXXXXX,1383
Fort Dearborn Elementary School,667,1172
Foster Park Elementary School,668,1491
Frazier Preparatory Academy,994,1634
Fresh Start Day Care Center,295,1022
Fuller,669,188
Robert Fulton Elementary School,670,287
Frederick Funston Elementary School,671,952
Gale,672,289
Matthew Gallistel Elementary Language Academy,673,1417
Marcus Moziah Garvey Elementary School,674,1418
Joseph E Gary Elementary School,675,291
Gads Hill Center - Cullerton,1009,59
Gads Hill Center - Ogden,248,579
Gifted Children Academy,XXXXXX,1385
Easter Seals Metropolitan Chicago - Gilchrist Marchman,936,1247
Frank L Gillespie Elementary School,676,1492
Henry Booth House - Gina's Unbelievable,521,1032
Johann W von Goethe Elementary School,677,1493
William C Goudy Technology Academy,679,296
Chicago Youth Centers - Graham Crackers,1016,1321
Alexander Graham Elementary School,680,297
Laughlin Falconer Elementary School,660,1494
Great Expectations,XXXXXX,1379
Horace Greeley Elementary School,682,1495
Wendell E Green Elementary School,683,1496
Nathanael Greene Elementary School,684,1497
John Milton Gregory Elementary School,685,1309
Walter Q Gresham Elementary School,686,299
Robert L Grimes Elementary School,687,1498
Virgil Grissom Elementary School,688,1499
Chicago Commons Association - Guadalupano Family Center,242,118
El Valor - Guadalupe A Reyes Children & Family Center,477,70
Frank W Gunsaulus Elementary Scholastic Academy,689,1500
John Charles Haines Elementary School,690,1501
Alex Haley Elementary Academy,692,245
John H Hamline Elementary School,694,953
Charles G Hammond Elementary School,695,1419
Hanson Park Elementary School,696,1233
Happy Holiday Nursery & Kindergarten,303,1635
Bret Harte Elementary School,697,1502
John Harvard Elementary School,698,1173
Helge A Haugan Elementary School,699,1248
John Hay Elementary Community Academy,700,304
Stephen K Hayt Elementary School,701,1503
Phobe Apperson Hearst Elementary School,703,306
Ada S. McKinley - Heaven's Learning Garden,1001,1350
James Hedges Elementary School,704,1505
Helen M Hefferan Elementary School,705,1405
Henry Booth House - Hegewisch,958,827
Charles R Henderson Elementary School,706,1406
Thomas A Hendricks Elementary Community Academy,707,308
Patrick Henry Elementary School,708,1506
Frazier Preparatory Academy,994,1507
William G Hibbard Elementary School,711,1420
Thomas J Higgins Elementary Community Academy,712,312
Henry Booth House - High Mountain,964,1241
Higher Learning Daycare & Education Center,307,1637
Rufus M Hitch Elementary School,714,1508
Charles N Holden Elementary School,715,1509
Oliver Wendell Holmes Elementary School,716,313
Holy Family Ministries - Little Learners Academy,309,1638
Henry Booth House - Hope for Youth,966,20
Howard Area Community Center,313,55
Julia Ward Howe Elementary School,717,1510
Charles Evans Hughes Elementary School,718,1421
Langston Hughes Elementary School,719,373
Gad's Hill Center - Hunt's Early Childhood Academy,508,1085
Hurley,720,315
Illinois Institute for Children,XXXXXX,974
Imani Children's Academy,315,1195
Infant Welfare Society of Chicago,1008,1398
Washington Irving Elementary School,721,1512
It Takes a Village Child Care Services,317,1190
J & L Family Learning Day Care,924,1298
Mahalia Jackson Elementary School,722,317
Friedrich Ludwig Jahn Elementary School,723,1513
Minnie Mars Jamieson Elementary School,724,1514
Henry Booth House - Jelly Bean Learning Center,968,1265
Henry Booth House - Jelly Bean Learning Center,515,1266
Jelly Bean 71st,516,1033
Henry Booth House - Jelly Bean (74th St),522,554
Henry Booth House - Jelly Bean Learning Center,514,595
Jenkins Institute of Love,XXXXXX,1378
Edward Jenner Elementary Academy of the Arts,725,318
Jensen Elementary Scholastic Academy,726,1422
James Weldon Johnson Elementary School of Excellence,727,320
Henry Booth House - Jones Academy,970,557
Scott Joplin Elementary School,728,1423
Jordan,729,323
Chicago Commons - JPE Daycare Center,929,972
Judah International Outreach Ministry,526,1281
Joseph Jungman Elementary School,730,370
Gerald Delgado Kanoon Elementary Magnet School,731,1407
Joseph Kellman Corporate Community ES,732,1174
Kenyatta's Day Care & Learning Center,995,1640
Joshua D Kershaw Elementary School,733,371
Kiddie Garden Little Angels,321,973
Kiddie Steps for You,XXXXXX,1393
Kiddieland Education Center,XXXXXX,1387
El Valor - Kiddy Kare Preschool,953,440
Kiddy Kare Site 1,342,1135
Kids R Us,490,1079
Kidz Colony,320,442
El Valor - Kidz Creative Concepts,955,1196
Joyce Kilmer Elementary School,734,1515
Kimball Day Care,484,977
Dr Martin L King Jr Academy of Social Justice,713,643
John H Kinzie Elementary School,735,1516
Gads Hill Center - Kove Learning Academy,299,1084
Charles Kozminski Elementary Community Academy,736,1517
Lake Shore Schools - Greenview,326,1258
Henry Booth House - Lakeview Development Center,519,596
Anna R Langford Community Academy,737,1175
Agustin Lara Elementary Academy,738,1424
LaSalle II Magnet Elementary School,739,1518
Henry Booth House - Laugh & Giggles,971,1264
Mildred I Lavizzo Elementary School,740,376
Lawndale Elementary Community Academy,741,377
Chicago Commons - Learn Together Grow Together Child Development Center,1014,1368
Metropolitan Family Services - Learning and Wellness Center,985,1222
Richard Henry Lee Elementary School,742,1519
Lee's Cuddles N Care,331,430
George Leland Elementary School,743,1425
Lenart Elementary Regional Gifted Center,744,1520
Leslie Lewis Elementary School,745,1521
Gad's Hill Center - Literacy Zone,965,1284
Little Achievers Learning Center,332,1236
Little Angels Family Daycare,333,559
Ada S. Mckinley - Little Folks Cottage,1002,1318
Little Folks Daycare,973,872
Ada S. McKinley - Little Genius,202,903
Ada S. McKinley - Little Genius 2,1003,1349
Little Hands Child Creative Center,337,576
Chicago Youth Centers - Little Kiddies,938,1204
Little Kids Village Learning,338,1244
Henry Booth House - Little Leaders of Tomorrow,976,556
Kiddy Kare Learning Centers - Little Learners,339,444
Kiddy Kare Learning Centers - Little Tykes I,342,441
Little Tykes II,341,443
Little Village Elementary School,747,954
Easter Seals - Living Witness,944,1272
Henry D Lloyd Elementary School,748,382
Josephine C Locke Elementary School,749,1522
First Lutheran YMCA,456,235
Logandale Middle School,750,1523
El Hogar Del Niño,280,421
Loop Learning Center,344,589
Federico Garcia Lorca Elementary School,751,1524
Los Pequenos Angelitos,345,975
El Valor - Lots of Love NFP,957,1199
El Valor - Lots of Love Preschool,959,1198
Henry Booth House - Love N Learn Academy,520,1361
Joseph Lovett Elementary School,752,1426
James Russell Lowell Elementary School,753,383
Rodolfo Lozano Bilingual & International Center Elementary School,754,384
Gad's Hill Center - M & E Daycare,509,1083
James Madison Elementary School,755,385
George Manierre Elementary School,756,1388
Horace Mann Elementary School,757,1525
Mari's Bumble Bee Academy,499,992
Marillac St. Vincent Family Services - Marillac Social Center,350,46
Marquette Elementary School,758,1526
John L Marsh Elementary School,759,1527
Mary Crane Center - Lake and Pulaski,351,862
Mary Crane Center - North,354,45
Mary Crane Center - Molade Center,352,861
Mary Crane Center - Morse,984,500
Mason,760,386
Benjamin E Mays Elementary Academy,761,1408
Sharon Christa McAuliffe Elementary School,762,1528
McCann's DayCare Center,356,1646
George B McClellan Elementary School,763,389
Cyrus H McCormick Elementary School,764,955
John T McCutcheon Elementary School,765,324
Mary E McDowell Elementary School,766,506
Francis M McKay Elementary School,767,325
Ada S. McKinley Community Services - Ersula Howard,205,135
Ada S. McKinley Community Services - Maggie Drummond,346,134
McKinley-Roseland,204,136
Ada S. McKinley Community Services - Trumbull Park,203,138
Ronald E McNair Elementary School,768,326
James B McPherson Elementary School,769,327
Genevieve Melody Elementary School,770,1529
Ralph H Metcalfe Elementary Community Academy,771,1530
Metropolitan Family Services - Midway Children's Center,357,44
Arnold Mireles Elementary Academy,772,1531
Ellen Mitchell Elementary School,773,1532
Irvin C Mollison Elementary School,774,1533
James Monroe Elementary School,775,330
Montessori Foundations of Chicago,221,1647
Bernhard Moos Elementary School,776,1157
Donald Morrill Math & Science Elementary School,777,1534
Morton,778,333
Mosaic Early Childhood Academy,360,1648
Mother's Touch Day Care,361,983
Mount Vernon Elementary School,781,1155
Wolfgang A Mozart Elementary School,779,1535
John B Murphy Elementary School,782,1536
Henry H Nash Elementary School,783,507
National Teachers Elementary Academy,794,334
Henry Booth House - Near South,979,401
Jane A Neil Elementary School,784,1537
Louis Nettelhorst Elementary School,785,1538
New Beginnings,531,424
New Concept Preschool (Institute for Positive Education),998,1649
New Field Elementary School,786,335
