site_name,portal_id,copa_id
4 Ever Young,948,1267
A-Karrasel-Galewood,939,1292
ABC Community Center,197,175
ABC Preschool,198,426
Addams,543,1431
Agassiz,544,1432
Albany Child Care Center,210,1191
Albany Park - Kimball,323,217
Aldridge,546,246
All About Kids Learning Academy,213,1360
Allison's (On 71st),217,1312
Allison's (On Racine),215,1311
Allison's Infant & Toddler Center,218,1020
Altgeld I,236,156
Appeals for Charities,1006,637
Archdiocese of Chicago - St. Bruno,400,1601
Archdiocese of Chicago-Augustus Tolton,401,1602
Archdiocese of Chicago-Epiphany,283,1603
Archdiocese of Chicago-Our Lady of Grace,374,1604
Archdiocese of Chicago-Our Lady of Tepeyac,377,1605
Archdiocese of Chicago-Our Lady of the Snow,380,1606
Archdiocese of Chicago-Pope John Paul II,385,1607
Archdiocese of Chicago-Queen of the Universe,386,1608
Archdiocese of Chicago-St. Agnes of Bohemia,398,1609
Archdiocese of Chicago-St. Angela,399,1610
Archdiocese of Chicago-St. Ann,392,1611
Archdiocese of Chicago-St. Benedict the African,201,1612
Archdiocese of Chicago-St. Gall,406,1613
Archdiocese of Chicago-St. Mary Star of the Sea,412,1614
Archdiocese of Chicago-St. Philip Neri,414,1615
Archdiocese of Chicago-St. Richard,415,1616
Archdiocese of Chicago-St. Sylvester,418,1617
Archdiocese-Maternity BVM,355,1276
Archdiocese-St. Ethelreda,405,1280
Archdiocese-St. Mary of the Lake,410,1279
Archdiocese-St. Nicholas,983,1277
Archdiocese-St. Sabina,417,1274
Ariel,547,1433
Armour,548,1434
Armstrong G,549,1435
Ashburn,550,1436
Ashe,XXXXXX,1671
Asian Human Services (Leaf Program Daycare Center),XXXXXX,1386
Asian Human Services (Little Leaves),222,1412
Audubon,551,1437
Austin Town Hall,997,1246
Avalon Park,552,1402
Azuela,553,1049
Barnard,554,1438
Barry,555,1439
Barton,556,640
Bass,557,1167
Bateman,558,254
Beard,559,1440
Beasley,560,1441
Beaubien,561,1442
Beethoven,562,256
Beidler,563,258
Belding,564,1443
Belmont-Cragin,565,1444
Bennett,566,1445
Betty's Daycare Academy,227,1102
Blaine,567,1446
Blair,568,1447
Bond,569,262
Boone,570,1168
Bouchet,571,1169
Bradwell,572,265
Brain Box,XXXXXX,1394
Brennemann,573,1448
Brentano,574,1449
Bridge,575,1450
Bright,576,1451
Brighton Park,577,1452
Brown R,578,267
Brown W,579,1453
Brownell,580,1454
Brunson,581,268
Budlong,582,1455
Building Blocks,230,1325
Building Blocks Learning Academy II,XXXXXX,1384
Bunnyland Day Care,999,1351
Burbank,583,1456
Burke,584,270
Burnham,586,1457
Burnside,587,1458
Burr,588,1459
Burroughs,589,1414
Busy Bees Child Development,231,1161
Busy Bees II,943,1245
Caldwell,590,1403
Calmeca,591,1460
Cameron,592,271
Camras,593,1461
Canty,594,1462
Cardenas,595,272
Carlos Cantu,478,649
Carnegie,596,1463
Carole  Robertson Center-2929,481,210
Carole Robertson Center - 3701(OGDEN),233,87
Carroll,597,1464
Carson,598,945
Carter,599,274
Carver G,600,1465
Casa Central-Early Learning Academy,234,1619
Casals,601,1466
Cather,602,275
Centro Infantil (Puerto Rican Comm),497,615
Centro Nuestro,235,176
Chalmers,603,276
Chance After Chance,241,1620
Channings Child Care Academy,240,980
Chappell,604,1467
Chase,605,277
Chavez,606,1468
Chicago Academy ES,607,1469
Chicago Lawn,246,140
Chicago Lighthouse for People who are Blind or Visually Impaired,993,1621
Children's Center (Halsted),923,868
Children's Center (Western),427,869
Children's Center Developmental,1021,1622
Children's Home & Aid,282,1624
Children's International Academy,250,1021
Children's Place Association-Humboldt Park,429,1625
Children's World,952,1221
Chinese American Service League Child Dev Ctr,491,432
Chipper Preschool,253,979
Chopin,608,247
Christopher House - Belmont Cragin,255,1220
Christopher House - Logan Square,257,225
Christopher House - Uptown,259,228
Church of God Community Day Care,260,82
City Colleges - Daley College,918,905
City Colleges - Kennedy-King College,917,129
City Colleges - Malcolm X College,920,128
City Colleges - Olive-Harvey College,919,127
City Colleges - Truman College,915,126
Claremont,609,503
Clark ES,610,1470
Clay,611,1471
Cleveland,612,248
Clinton,613,1472
Colemon,614,1473
Coles,615,1356
Columbia Explorers,921,516
Columbus,616,1474
Concordia Place - Seeley,263,1628
Concordia Place - Whipple,262,1629
Cook,617,252
Cooper,618,255
Corkery,619,946
Courtenay,620,1475
Creative Little Ones,535,1104
Creative Little Ones (Halsted),954,1372
Crown,621,1305
Crystal Palace,956,1124
Cuddle Care Academy,488,1094
Cuffe,622,1415
Curtis,624,259
Daley,625,947
Darwin,626,1476
Davis N,627,1052
Dawes,628,1477
De Diego,629,1478
Deneen,632,641
DePriest,631,948
Dett,633,1180
Dever,634,1479
Dewey,635,1232
Diana's Playpen of Little Geniuses,963,1227
Dirksen,636,1480
Disney,637,1481
Disney II ES,638,1482
Diversey Day Care,483,976
Dixon,639,1483
Doolittle,641,288
Dore,642,1484
Dorothy Gautreaux,266,177
Dorsey Developmenal Institute,274,1630
Dr. Deton J. Brooks Child Development Center,438,17
Drake,643,1416
Dream Child Development,1000,1319
DuBois,644,963
Dulles,645,290
Dunne,646,1485
Durkin Park,647,1486
Dvorak,648,292
Earle,649,1358
Early Child Care Services,421,1631
East Side Development Center,278,1268
Edwards,653,950
Effie Ellis,237,578
Ellington,654,298
Ericson,655,1170
Erie Community Center,507,69
Erie House,1012,68
Erie Neighborhood House-Charter School SA,1011,626
Esmond,656,302
Everett,657,1171
Evers,658,1404
Eyes on the Future,284,1054
Fairfield,659,1488
Fairyland Nursery School,286,1633
Falconer,660,305
Faraday,661,307
Farnsworth,662,1489
Farragut HS,663,1490
Fellowship House,267,178
Fernwood,664,1152
FIFTH CITY,292,520
Finkl,665,951
First Start Children's Academy,293,572
First Start Children's Academy South,294,1100
First Step Learning Daycare,1015,1366
Fiske,666,1181
Foresight Children's Learning Center Inc.,XXXXXX,1383
Fort Dearborn,667,1172
Foster Park,668,1491
Frazier Preparatory Academy,994,1634
Fresh Start Day Care Center,295,1022
Fuller,669,188
Fulton,670,287
Funston,671,952
Gale,672,289
Gallistel,673,1417
Garvey,674,1418
Gary,675,291
GH Cullerton Location,1009,59
GH Sinai Community Ogden,248,579
Gifted Children Academy,XXXXXX,1385
Gilchrist Marchman - Fosco,936,1247
Gillespie,676,1492
Gina's Unbelievable,521,1032
Goethe,677,1493
Goudy,679,296
Graham Crackers,1016,1321
Graham ES,680,297
Gray,681,1494
Great Expectations,XXXXXX,1379
Greeley,682,1495
Green,683,1496
Greene,684,1497
Gregory,685,1309
Gresham,686,299
Grimes,687,1498
Grissom,688,1499
Guadalupano Family Center,242,118
Guadalupe Reyes Children & Family Center,477,70
Gunsaulus,689,1500
Haines,690,1501
Haley,692,245
Hamline,694,953
Hammond,695,1419
Hanson Park,696,1233
Happy Holiday Nursery & Kindergarten,303,1635
Harte,697,1502
Harvard,698,1173
Haugan,699,1248
Hay,700,304
Hayt,701,1503
Hearst,703,306
Heaven's Learning Garden,1001,1350
Hedges,704,1505
Hefferan,705,1405
Hegewisch,958,827
Henderson,706,1406
Hendricks,707,308
Henry,708,1506
Herzl,710,1507
Hibbard,711,1420
Higgins,712,312
High Mountain,964,1241
Higher Learning Daycare & Education Center,307,1637
Hitch,714,1508
Holden,715,1509
Holmes,716,313
Holy Family Ministries-Little Learners Academy,309,1638
Hope for Youth,966,20
Howard Area Family Center,313,55
Howe,717,1510
Hughes C,718,1421
Hughes L,719,373
Hunt's Early Childhood Educational Academy,508,1085
Hurley,720,315
Illinois Institute for Children,XXXXXX,974
Imani Children's Academy,315,1195
Infant Welfare Society of Chicago,1008,1398
Irving,721,1512
It Takes a Village Services Inc (4000),317,1190
J & L Family Learning Day Care,924,1298
Jackson M,722,317
Jahn,723,1513
Jamieson,724,1514
Jelly Bean 61st,968,1265
Jelly Bean 63rd,515,1266
Jelly Bean 71st,516,1033
Jelly Bean 74th St,522,554
Jelly Bean 85th,514,595
Jenkins Institute of Love,XXXXXX,1378
Jenner,725,318
Jensen,726,1422
Johnson,727,320
Jones Academy,970,557
Joplin,728,1423
Jordan,729,323
JPE Daycare Center,929,972
Judah International Outreach Ministry,526,1281
Jungman,730,370
Kanoon,731,1407
Kellman,732,1174
Kenyatta's Day Care & Learning Center,995,1640
Kershaw,733,371
Kiddie Garden Little Angels,321,973
Kiddie Steps for You,XXXXXX,1393
Kiddieland Education Center,XXXXXX,1387
Kiddy Kare Preschool,953,440
Kiddy Kare Site 1,XXXXXX,1135
Kids R Us,490,1079
Kidz Colony,320,442
Kidz Creative Concepts,955,1196
Kilmer,734,1515
Kimball Day Care,484,977
King ES,713,643
Kinzie,735,1516
Kove Learning Academy,299,1084
Kozminski,736,1517
Lake Shore School,326,1258
Lakeview Development Center,519,596
Langford,737,1175
Lara,738,1424
Lasalle II,739,1518
Laughs & Giggles,971,1264
Lavizzo,740,376
Lawndale,741,377
Learn Together Grow Together Child Development C.,1014,1368
Learning and Wellness Center-Libby,985,1222
Lee,742,1519
Lee's Cuddles N Care,331,430
Leland,743,1425
Lenart,744,1520
Lewis,745,1521
Literacy Zone,965,1284
Little Achievers Academy,332,1236
Little Angels Family DayCare,333,559
Little Folks Cottage,1002,1318
Little Folks Day Care,973,872
Little Genius,202,903
Little Genius 2,1003,1349
Little Hands,337,576
Little Kiddies,938,1204
Little Kids Village Learning II,338,1244
Little Leaders of Tomorrow I-Mayfield,976,556
Little Learners,339,444
Little Tykes I,342,441
Little Tykes II,341,443
Little Village,747,954
Living Witness,944,1272
Lloyd,748,382
Locke J,749,1522
Logan Square - First Lutheran,456,235
Logandale,750,1523
Loomis El Hogar,280,421
Loop Learning Center,344,589
Lorca,751,1524
Los Pequenos Angelitos,345,975
Lots of Love NFP,957,1199
Lots of Love Pre-School,959,1198
Love N Learn Academy,520,1361
Lovett,752,1426
Lowell,753,383
Lozano,754,384
M & E Daycare - 79th Street Day Care,509,1083
Madison,755,385
Manierre,756,1388
Mann,757,1525
Mari's Bumble Bee Academy,499,992
Marillac Social Center,350,46
Marquette,758,1526
Marsh,759,1527
Mary Crane Center (Lake & Pulaski),351,862
Mary Crane Center (Lathrop),354,45
Mary Crane Center (Molade Child Dev.),352,861
Mary Crane Center (Morse),984,500
Mason,760,386
Mays,761,1408
Mcauliffe,762,1528
McCann's DayCare Center,356,1646
McClellan,763,389
McCormick,764,955
McCutcheon,765,324
McDowell,766,506
McKay,767,325
McKinley-Ersula Howard,205,135
McKinley-Maggie Drummond,346,134
McKinley-Roseland,204,136
McKinley-Trumbull Park,203,138
McNair,768,326
McPherson,769,327
Melody,770,1529
Metcalfe,771,1530
Midway Childrens Center,357,44
Mireles,772,1531
Mitchell,773,1532
Mollison,774,1533
Monroe,775,330
Montessori Foundations of Chicago,221,1647
Moos,776,1157
Morrill,777,1534
Morton,778,333
Mosaic Early Childhood Academy,360,1648
Mother's Touch,361,983
Mount Vernon,781,1155
Mozart,779,1535
Murphy,782,1536
Nash,783,507
National Teachers,794,334
Near South,979,401
Neil,784,1537
Nettelhorst,785,1538
New Beginnings,531,424
New Concept Preschool (Inst for Positive Education),998,1649
New Field,786,335
New Generation Creative Learning Center,1017,1326
New Hope,363,206
New Knowledge Learning Center,1004,1353
New Pisgah Day Care,364,1183
New Sullivan,864,1539
Nia Family Center,243,120
Nicholson,788,336
Nightingale,789,1234
Ninos Heroes,709,1540
Nixon,790,956
Nobel,791,1541
North Childrens Center,359,796
North River,792,1542
North Star Child Development,485,1132
Northwestern University Settlement House,367,40
Norwood Park,793,1543
Oglesby,796,1151
OKeeffe,797,337
Onahan,798,1544
One Hope United-Bridgeport I,228,1650
One Hope United-Bridgeport II,229,1651
One Hope United-Edgewater Early Learning Ctr,279,1652
Onward Neighborhood House - Belmont Cragin,370,843
Oriole Park,799,1545
Orozco,800,1546
Ortiz De Dominguez,630,1357
Otis,801,1547
OToole,802,338
Ounce of Prevention-Educare,906,1658
Our Lady of Tepeyac,378,146
Out on Faith Learning Center,XXXXXX,1390
Owens,678,1548
Palmer,803,1549
Park Manor,804,1409
Parker,805,1550
Parkside,806,341
Passages Charter,383,1662
Pasteur,807,1551
Pathways to Learning - Kedzie,941,1056
Pathways to Learning CC1,384,568
Paulo Freire,244,121
Peachtree Educational Daycare 2,978,1399
Peck,808,849
Peirce,809,1552
Penn,810,343
Perez,811,344
Peterson,813,1553
Piccolo,814,345
Pickard,815,346
Pilsen,816,347
Pirie,817,1554
Portage Park,819,1555
Power Day Care,960,1162
Precious Little Ones - 47th,1005,1297
Precious Little Ones - 51st,928,1295
Precious Little Ones - 63rd,931,1296
Prescott,820,1556
Prieto,821,1557
Pritzker,822,1558
Prodigy Child Learning Center,523,1035
Prodigy Child Learning Center ANNEX,XXXXXX,1429
Project Org + Design Studio,524,1352
Prussing,823,1559
Pulaski,824,1560
Pullman,825,1176
Rachel's Learning Center North Avenue,487,547
Rachel's Learning Center North Avenue,XXXXXX,1370
Rachel's Learning Center Roosevelt Road,489,546
Rainbow Daycare,387,970
Randolph,826,1156
Ravenswood,827,1561
Ray,828,1562
Reavis,829,521
Rebecca Crown,269,183
Red Shield,974,567
Reilly,830,1563
Reinberg,831,1564
Rev. Dr. Jeremiah A. Wright Jr. Early Care and Learning Center,975,446
Revere,832,349
Rey Gonzalez Children and Family Center,479,71
Robinson,833,508
Rogers,834,1565
Rogers Park,391,395
Ruggles,836,645
Ruiz,837,1567
Ryder,838,350
Salazar,839,1568
Sandoval,840,958
Saucedo,841,351
Sayre,842,1569
Scammon,843,1570
Schmid,844,1571
Schubert,845,1572
Seward,846,959
Sherman,847,1177
Sherwood,848,960
Shields,849,961
Shining Star #1,539,1185
Shining Star #2,538,1186
Shining Star #3,540,1187
Shining Star #4,541,1188
Shoop,850,1573
Small World Daycare Center,961,1289
Smart From The Start Armitage,933,1148
Smart Learning Center,1013,1226
Smith,852,1574
Smyser,853,1575
Smyth,854,1359
Solomon,855,1576
South East Asia Center - Ainslie,XXXXXX,31
South East Asia Center - Broadway,988,566
South East Asia Center - Foster,989,584
South East Asia Center - Infant-Toddler,XXXXXX,1401
South Shore ES,857,1577
South Shore United Methodist,542,32
Southeast,1020,1578
Spencer,858,355
Spry ES,859,1427
St. Joseph,408,150
St. Vincent de Paul Center,420,1670
Stagg,860,646
Star Kids Math & Science,981,1229
Stepping Stones CCC,422,877
Stevenson,861,1579
Stock,862,1580
Stowe,863,358
Sumner,865,509
Sweet Pea Academy,1018,1355
Swift,866,1581
Talcott,867,1582
Talman,868,1583
Tanner,869,359
Tarkington,870,1584
Taylor,871,1585
Taylor Center for New Experiences,245,117
Teddy Bear 1 (51st STREET),501,616
Teddy Bear 2 (Columbus Dr),424,617
Teddy Bear 3 (6401 S Pulaski Rd),423,618
Teddy Bear 5 (5160 S Pulaski),425,619
Telpochcalli,872,1586
Temple,426,209
The Baby Academy,XXXXXX,1329
The Learning Tree,430,1269
The Learning Tree II,431,1270
The Montessori School of Englewood,947,1381
The Preschool Center of CCCS - Hyde Park,934,1060
The Preschool Center of CCS - Englewood,992,1328
Thomas,873,850
Thorp J,874,962
Till,875,390
Tilton,876,1178
Tonti,877,1587
Twain,878,1588
Vick,879,1589
Vick Village,880,1590
Village of Hope Learning Center,XXXXXX,1400
Volta,881,1591
Von Linne,746,381
Wacker,882,1153
Wadsworth,883,1592
Walsh,884,1410
Ward J,885,1593
Ward L,886,1182
Warren,887,1594
Washington G ES,888,1595
Washington H ES,889,1596
Webster,891,1308
Wee Care Nursery School,447,1200
Wells ES,892,1306
Wentworth,893,1411
West Austin,450,895
West Park,894,1597
West ridge,895,1598
Westcott,896,1307
Whistler,897,1428
White,898,1599
Whitney,899,1179
Whittier,900,364
Whiz Kids Nursery Center,451,1016
Wholly Innocence Day Care Center,453,856
Winthrop Childrens Center,455,391
Wise Owl,946,1259
Woodlawn,901,784
Woodson,902,366
Yates,903,368
YMCA - Dr. Effie O Ellis,466,907
YMCA - Garfield,457,232
YMCA - High Ridge,458,234
YMCA - Jeanne Kenney Day Care Center,459,906
YMCA - McCormick Tribune,471,238
YMCA - North Lawndale,461,240
YMCA - Rauner,473,524
YMCA - South Chicago,464,242
YMCA - South Side,465,243
Young Achievers Academy,475,874
Young ES,904,369
Young Scholars Dev. Ins.,476,490
Zapata,905,512
Pershing,812,510
