site_name,portal_id,copa_id
Henry Booth House - 4 Ever Young,948,1267
Easter Seals - A-Karrasel,937,1299
Easter Seals - A-Karrasel Galewood,939,1292
Chicago Youth Centers - ABC Polk Brothers Early Childhood Program,197,175
Jane Addams Elementary School,543,1388
Louis A Agassiz Elementary School,544,1389
Alain Locke Charter School,207,1557
Improved Child Care - Albany Child Care,210,1191
Albany Park Community Center - Ainslie,211,529
Kimball Head Start,323,217
Ira F Aldridge Elementary School,546,246
All About Kids Learning Academy,213,1360
Salvation Army - All Things are Possible,534,1058
Allison's Infant and Toddler Center - Roseland,218,1036
Allison's Infant and Toddler Center - Englewood,215,1311
Allison's Infant and Toddler Center - Roseland,218,1020
Allison's Infant and Toddler Center - Englewood,215,585
Centers for New Horizons - Altgeld Gardens Early Learning Center,236,156
Appeals for Charities,1006,637
Archdiocese of Chicago - St. Bruno,400,1558
Archdiocese of Chicago - Epiphany,283,1560
Archdiocese of Chicago - Our Lady of Grace,374,1561
Archdiocese of Chicago - Our Lady of Tepeyac,377,1562
Archdiocese of Chicago - Our Lady of the Snow,380,1563
Archdiocese of Chicago - Pope John Paul II,385,1564
Archdiocese of Chicago - Queen of the Universe,386,1565
Archdiocese of Chicago - St. Agnes of Bohemia,398,1566
Archdiocese of Chicago - St. Angela,399,1567
Archdiocese of Chicago - St. Ann,392,1568
Archdiocese of Chicago - St. Benedict the African,201,1569
Archdiocese of Chicago - St. Mary Star of the Sea,412,1571
Archdiocese of Chicago - St. Richard,415,1573
Archdiocese of Chicago - Visitation,991,1575
Archdiocese of Chicago - Maternity BVM,355,1276
Archdiocese of Chicago - St. Ethelreda,405,1280
Archdiocese of Chicago - St. Mary of the Lake,410,1279
Mary Crane League - Archdiocese St Nicolas of Tolentine,983,1277
Archdiocese of Chicago - St. Sabina,417,1274
University of Chicago - North Kenwood Oakland,445,1390
George Armstrong International Studies ES,549,1392
John J Audubon Elementary School,551,1394
Lutheran Social Services - Austin Town Hall,997,1246
Mariano Azuela Elementary School,553,1049
Alice L Barnard Computer Math & Science Center Elementary School,554,1395
Clara Barton Elementary School,556,640
Newton Bateman Elementary School,558,254
BBF Family Service,1007,94
Daniel C Beard Elementary School,559,1397
Jean Baptiste Beaubien Elementary School,561,1399
Ludwig Van Beethoven Elementary School,562,256
Jacob Beidler Elementary School,563,258
Frank I Bennett Elementary School,566,1402
Betty's Daycare,227,1102
James G Blaine Elementary School,567,1403
Blair Early Childhood Center,568,1404
Carrie Jacobs Bond Elementary School,569,262
Daniel Boone Elementary School,570,1168
Edward A Bouchet Math & Science Academy ES,571,1169
Myra Bradwell Communications Arts & Sciences ES,572,265
Joseph Brennemann Elementary School,573,1405
Lorenz Brentano Math & Science Academy ES,574,1406
Norman A Bridge Elementary School,575,1407
Orville T Bright Elementary School,576,1408
Brighton Park Elementary School,577,1409
Ronald Brown Elementary Community Academy,578,267
William H Brown Elementary School,579,1410
Charles S Brownell Elementary School,580,1411
Milton Brunson Math & Science Specialty ES,581,268
Lyman A Budlong Elementary School,582,1412
Building Blocks Learning Academy,230,1325
Ada S. McKinley - Bunnyland Day Care,999,1351
Luther Burbank Elementary School,583,1413
Edmond Burke Elementary School,584,270
Burnham Elementary Inclusive Academy,586,1414
Burnside Elementary Scholastic Academy,587,1415
Jonathan Burr Elementary School,588,1416
Busy Bees Child Development Center,231,1161
Easter Seals - Busy Bees II,943,1245
Calmeca Academy of Fine Arts and Dual Language,591,1417
Daniel R Cameron Elementary School,592,271
Marvin Camras Elementary School,593,1418
Arthur E Canty Elementary School,594,1419
El Valor - Carlos H Cantu Cihldren & Family Center,478,649
Andrew Carnegie Elementary School,596,1420
Carole Robertson Center for Learning - 19th Street,481,210
Carole Robertson Center for Learning - Ogden,233,87
Carole Robertson Center for Learning - Roosevelt,232,211
William W Carter Elementary School,599,274
Casa Central - Early Learning Academy,234,1576
Pablo Casals Elementary School,601,1423
Willa Cather Elementary School,602,275
El Valor - Centro Infantil Puerto Rican Community Center,497,615
Chicago Youth Centers - Centro Nuestro,235,176
Thomas Chalmers Specialty Elementary School,603,276
Channing's Child Care,240,980
Eliza Chappell Elementary School,604,1424
Salmon P Chase Elementary School,605,277
Chicago Academy Elementary School,607,1426
Catholic Charities - Chicago Lawn Child Development Center,246,140
Chicago Lighthouse for People who are Blind or Visually Impaired,993,1578
Children's Center,923,868
Children's Developmental Institute - South Shore,1021,1579
Children's Center for Creative Learning - Kedzie,1019,1580
Children's Home & Aid Freidheim Child and Family Center,282,1581
Children's International Academy,250,1021
Children's Place Association - Home-based,310,1583
El Valor - Children's World,952,1221
Chipper Preschool and Kindergarten,253,979
Frederic Chopin Elementary School,608,247
Christopher House - Belmont Cragin,255,1220
Christopher House - Logan Square,257,225
Christopher House - Uptown,259,228
City Colleges of Chicago - Olive Harvey,919,127
Claremont Academy Elementary School,609,503
George Rogers Clark Elementary School,610,1427
Henry Clay Elementary School,611,1428
Grover Cleveland Elementary School,612,248
DeWitt Clinton Elementary School,613,1429
Johnnie Colemon Elementary Academy,614,1430
Edward Coles Elementary Language Academy,615,1356
Columbia Explorers Elementary Academy,921,516
Christopher Columbus Elementary School,616,1431
Concordia Place - Whipple,262,1585
John W Cook Elementary School,617,252
Peter Cooper Elementary Dual Language Academy,618,255
Daniel J Corkery Elementary School,619,946
Salvation Army - Creative Little Ones,535,1104
Richard J Daley Elementary Academy,625,947
Charles R Darwin Elementary School,626,1433
Charles Gates Dawes Elementary School,628,1434
Jose De Diego Elementary Community Academy,629,1435
Charles S Deneen Elementary School,632,641
Oscar DePriest Elementary School,631,948
Robert Nathaniel Dett Elementary School,633,1180
William E Dever Elementary School,634,1436
Gad's Hill Center - Diana's Playpen of Little Geniuses,963,1227
Everett McKinley Dirksen Elementary School,636,1437
Walt Disney Magnet Elementary School,637,1438
Walt Disney II Magnet School,638,1439
Diversey Daycare,483,976
Arthur Dixon Elementary School,639,1440
John C Dore Elementary School,642,1441
Chicago Youth Centers - Dorothy Gautreaux,266,177
Dorsey Developmental Institute,274,1586
Trinity United Church of Christ - Deton Brooks,438,17
Ada S. McKinley - Dream Child Development,1000,1319
William E B Dubois Elementary School,644,963
Dunne Technology Academy,646,1442
Durkin Park Elementary School,647,1443
Charles W Earle Elementary School,649,1358
Eastside Child Development Center,278,1268
Edison Park Elementary School,652,1444
Richard Edwards Elementary School,653,950
Centers for New Horizons - Effie O. Ellis Early Learning Center,237,578
Edward K Ellington Elementary School,654,298
Leif Ericson Elementary Scholastic Academy,655,1170
Erie Neighborhood House,507,69
Erie Neighborhood House - Erie House,1012,68
Erie Neighborhood House - Charter School SA,1011,626
Fussy Baby Network,296,1588
Edward Everett Elementary School,657,1171
Eyes on the Future,284,1054
Fairfield Elementary Academy,659,1445
Fairyland Nursery School,286,1589
Family Focus - Lawndale,289,1300
Family Focus - Nuestra Familia,290,1302
Family Child Care Home,287,203
James B Farnsworth Elementary School,662,1446
David G Farragut Career Academy High School,663,1447
Chicago Youth Centers - Fellowship House,267,178
Fernwood Elementary School,664,1152
Fifth City,292,520
William F Finkl Elementary School,665,951
Firman House West ,1010,63
First Start Children's Academy,293,572
Chicago Youth Centers - First Step Learning Daycare,1015,1366
John Fiske Elementary School,666,1181
Fort Dearborn Elementary School,667,1172
Foster Park Elementary School,668,1448
Robert Fulton Elementary School,670,287
Frederick Funston Elementary School,671,952
Joseph E Gary Elementary School,675,291
Chicago Youth Centers - George E. Taylor,268,181
Gads Hill Center - Archer Children's Program,510,1382
Gads Hill Center - Cullerton,1009,59
Gads Hill Center - Ogden,248,579
Easter Seals Metropolitan Chicago - Gilchrist Marchman,936,1247
Frank L Gillespie Elementary School,676,1449
Henry Booth House - Gina's Unbelievable,521,1032
Johann W von Goethe Elementary School,677,1450
William C Goudy Technology Academy,679,296
Chicago Youth Centers - Graham Crackers,1016,1321
Horace Greeley Elementary School,682,1452
Wendell E Green Elementary School,683,1453
Nathanael Greene Elementary School,684,1454
John Milton Gregory Elementary School,685,1309
Walter Q Gresham Elementary School,686,299
Virgil Grissom Elementary School,688,1456
Chicago Commons Association - Guadalupano Family Center,242,118
El Valor - Guadalupe A Reyes Children & Family Center,477,70
Frank W Gunsaulus Elementary Scholastic Academy,689,1457
John Charles Haines Elementary School,690,1458
Alex Haley Elementary Academy,692,245
John H Hamline Elementary School,694,953
Hanson Park Elementary School,696,1233
Happy Holiday Nursery & Kindergarten,303,1591
Bret Harte Elementary School,697,1459
John Harvard Elementary School,698,1173
Helge A Haugan Elementary School,699,1248
John Hay Elementary Community Academy,700,304
Haymarket Center Early Head Start Home Based Program,305,1073
Stephen K Hayt Elementary School,701,1460
Phobe Apperson Hearst Elementary School,703,306
Ada S. McKinley - Heaven's Learning Garden,1001,1350
James Hedges Elementary School,704,1462
Henry Booth House - Hegewisch,958,827
Thomas A Hendricks Elementary Community Academy,707,308
Patrick Henry Elementary School,708,1463
Frazier Preparatory Academy,994,1464
Thomas J Higgins Elementary Community Academy,712,312
Henry Booth House - High Mountain,964,1241
Higher Learning Daycare & Education Center,307,1593
Rufus M Hitch Elementary School,714,1465
Charles N Holden Elementary School,715,1466
Oliver Wendell Holmes Elementary School,716,313
Holy Family Ministries - Little Learners Academy,309,1594
Henry Booth House - Hope for Youth,966,20
Henry Booth House - Hope for Youth,966,1242
Howard Area Community Center,313,55
Julia Ward Howe Elementary School,717,1467
Langston Hughes Elementary School,719,373
Gad's Hill Center - Hunt's Early Childhood Academy,508,1085
Centers for New Horizons - Dawson,239,158
Imani Children's Academy,315,1195
Improved Child Care - Albany Child Care,210,1595
Salvation Army - Incarnation Head Start,316,204
Infant Welfare Society of Chicago,1008,1303
Inter-American Elementary Magnet School,914,1468
Washington Irving Elementary School,721,1469
"It Takes A Village, ELC",318,1380
It Takes a Village Child Care Services,317,1190
Mahalia Jackson Elementary School,722,317
Friedrich Ludwig Jahn Elementary School,723,1470
Minnie Mars Jamieson Elementary School,724,1471
Henry Booth House - Jelly Bean Learning Center,968,1265
Henry Booth House - Jelly Bean Learning Center,515,1266
Henry Booth House - Jelly Bean (74th St),522,554
Henry Booth House - Jelly Bean Learning Center,514,595
Edward Jenner Elementary Academy of the Arts,725,318
James Weldon Johnson Elementary School of Excellence,727,320
Henry Booth House - Jones Academy,970,557
Chicago Commons - JPE Daycare Center,929,972
Joseph Jungman Elementary School,730,370
Joseph Kellman Corporate Community ES,732,1174
Kenyatta's Day Care & Learning Center,995,1596
Joshua D Kershaw Elementary School,733,371
Kiddie Garden Little Angels,321,973
El Valor - Kiddy Kare Preschool,953,440
Kids R Us,490,1079
El Valor - Kidz Creative Concepts,955,1196
Joyce Kilmer Elementary School,734,1472
Dr Martin L King Jr Academy of Social Justice,713,643
John H Kinzie Elementary School,735,1473
Korean American Community Services,324,52
Gads Hill Center - Kove Learning Academy,299,1084
Charles Kozminski Elementary Community Academy,736,1474
Lake Shore Schools,327,1597
Henry Booth House - Lakeview Development Center,519,596
Anna R Langford Community Academy,737,1175
LaSalle II Magnet Elementary School,739,1475
Henry Booth House - Laugh & Giggles,971,1264
Mildred I Lavizzo Elementary School,740,376
Holy Family Ministries - Little Learners Academy,309,1598
Chicago Commons - Learn Together Grow Together Child Development Center,1014,1368
Metropolitan Family Services - Learning and Wellness Center,985,1222
Richard Henry Lee Elementary School,742,1476
Legacy Charter,996,1600
Lenart Elementary Regional Gifted Center,744,1477
Leslie Lewis Elementary School,745,1478
Gad's Hill Center - Literacy Zone,965,1284
Little Achievers Learning Center,332,1236
Little Angels Family Daycare,333,559
Ada S. Mckinley - Little Folks Cottage,1002,1318
Little Folks Daycare,973,872
Ada S. McKinley - Little Genius,202,903
Ada S. McKinley - Little Genius 2,1003,1349
Little Hands Child Creative Center,337,576
Chicago Youth Centers - Little Kiddies,938,1204
Little Kids Village Learning,338,1244
Henry Booth House - Little Leaders of Tomorrow,976,556
Kiddy Kare Learning Centers - Little Learners,339,444
Kiddy Kare Learning Centers - Little Tykes I,342,441
Kiddy Kare Learning Centers - Little Tykes II,341,443
Little Village Elementary School,747,954
Easter Seals - Living Witness,944,1272
Henry D Lloyd Elementary School,748,382
Josephine C Locke Elementary School,749,1479
First Lutheran YMCA,456,235
El Hogar Del Niño,280,421
Loop Learning Center,344,589
Federico Garcia Lorca Elementary School,751,1481
Los Pequenos Angelitos,345,975
El Valor - Lots of Love NFP,957,1199
El Valor - Lots of Love Preschool,959,1198
Henry Booth House - Love N Learn Academy,520,1361
Rodolfo Lozano Bilingual & International Center Elementary School,754,384
Gad's Hill Center - M & E Daycare,509,1083
James Madison Elementary School,755,385
Mae's Early Child Development & Therapeutic Daycare,978,1228
Horace Mann Elementary School,757,1482
Marillac St. Vincent Family Services - Marillac Social Center,350,46
Marquette Elementary School,758,1483
John L Marsh Elementary School,759,1484
Mary Crane Center - Lake and Pulaski,351,862
Mary Crane Center - North,354,45
Mary Crane Center - Molade Center,352,861
Mary Crane Center - Morse,984,500
Sharon Christa McAuliffe Elementary School,762,1485
McCann's DayCare Center,356,1602
George B McClellan Elementary School,763,389
Cyrus H McCormick Elementary School,764,955
Mary E McDowell Elementary School,766,506
Francis M McKay Elementary School,767,325
Ada S. McKinley Community Services - Ersula Howard,205,135
Ada S. McKinley Community Services - Maggie Drummond,346,134
Ada S. McKinley Community Services - Roseland,204,136
Ada S. McKinley Community Services - Trumbull Park,203,138
Ronald E McNair Elementary School,768,326
James B McPherson Elementary School,769,327
Genevieve Melody Elementary School,770,1486
Ralph H Metcalfe Elementary Community Academy,771,1487
Metropolitan Family Services - Midway Children's Center,357,44
Metropolitan Family Services - Midway Headstart Center,358,43
Arnold Mireles Elementary Academy,772,1488
Ellen Mitchell Elementary School,773,1489
Irvin C Mollison Elementary School,774,1490
James Monroe Elementary School,775,330
Montessori Foundations of Chicago,221,1603
Bernhard Moos Elementary School,776,1157
Donald Morrill Math & Science Elementary School,777,1491
Mosaic Early Childhood Academy,360,1604
Mother's Touch Day Care,361,983
Mount Vernon Elementary School,781,1155
Wolfgang A Mozart Elementary School,779,1492
John B Murphy Elementary School,782,1493
Henry H Nash Elementary School,783,507
National Teachers Elementary Academy,794,334
Henry Booth House - Near South,979,401
Jane A Neil Elementary School,784,1494
Louis Nettelhorst Elementary School,785,1495
New Concept Preschool (Institute for Positive Education),998,1605
New Field Elementary School,786,335
Easter Seals - New Generation Creative Learning Center,1017,1326
Salvation Army - New Hope Head Start,363,206
Ada S. McKinley - New Knowledge Learning Center,1004,1353
Salvation Army - New Moms,533,1238
New Pisgah Day Care,364,1183
William K New Sullivan Elementary School,864,1496
Chicago Commons Association - NIA Family Center,243,120
Nicholson Technology Academy,788,336
Florence Nightingale Elementary School,789,1234
Ninos Heroes Elementary School,709,1497
Alfred Nobel Elementary School,791,1498
North Avenue Day Nursery,366,41
Metropolitan Family Services - North Children's Center,359,796
North River Elementary School,792,1499
North Star Child Development,485,1132
Northwestern University Settlement House,367,40
Norwood Park Elementary School,793,1500
Richard J Oglesby Elementary School,796,1151
Isabelle C O'Keeffe Elementary School,797,337
William J Onahan Elementary School,798,1501
One Hope United - Bridgeport Child Development Center,228,1606
One Hope United - Edgewater Early Learning Center,279,1608
One Hope United - Wings,368,1609
Oriole Park Elementary School,799,1502
Orozco Fine Arts & Sciences Elementary School,800,1503
Josefa Ortiz De Dominguez Elementary School,630,1357
James Otis Elementary School,801,1504
Montessori School of Englewood,947,338
Salvation Army - New Moms,533,1617
Ounce of Prevention - Educare,906,1614
Catholic Charities - Our Lady of Tepeyac Child Development Center,378,146
John Palmer Elementary School,803,1506
Parkside Elementary Community Academy,806,341
Asian Human Services - Passages Charter School,383,1618
Louis Pasteur Elementary School,807,1508
Pathways To Learning Child Care Centers - Kedzie,941,1056
Pathways To Learning Child Care Centers - Ashburn,384,568
Chicago Commons Association - Paulo Freire Family Center,244,121
Gad's Hill Center - Peachtree Educational Daycare Inc,967,1287
Ferdinand Peck Elementary School,808,849
Helen Peirce International Studies ES,809,1509
William Penn Elementary School,810,343
Mary Gage Peterson Elementary School,813,1510
Josiah Pickard Elementary School,815,346
Pilsen Elementary Community Academy,816,347
John T Pirie Fine Arts & Academic Center ES,817,1511
Portage Park Elementary School,819,1512
El Valor - Power Daycare,960,1162
Ada S. McKinley - Precious Little Ones (47th),1005,1297
Ada S. McKinley - Precious Little Ones (51 St),928,1295
William H Prescott Elementary School,820,1513
Dr Jorge Prieto Math and Science Academy Elementary School,821,1514
A N Pritzker School,822,1515
Henry Booth House - Prodigy Child Learning Center,523,1035
Ernst Prussing Elementary School,823,1516
Casimir Pulaski Elementary Fine Arts Academy,824,1517
George M Pullman Elementary School,825,1176
Rachel's Learning Center - Austin,487,547
Rachel's Learning Center - Austin,487,1370
Rachel's Learning Center - North Lawndale,489,546
Rainbow Daycare,387,970
Asa Philip Randolph Elementary School,826,1156
Ravenswood Elementary School,827,1518
William H Ray Elementary School,828,1519
William C Reavis Math & Science Specialty Elementary School,829,521
Chicago Youth Centers - Rebecca K. Crown,269,183
Salvation Army - Red Shield,974,567
Frank W Reilly Elementary School,830,1520
Peter A Reinberg Elementary School,831,1521
Trinity United Church of Christ - Dr Jeremiah A Wright Jr Early Care & Learning Center,975,446
Paul Revere Elementary School,832,349
El Valor - Rey B Gonzalez Children & Family Center,479,71
Jackie Robinson Elementary School,833,508
