copa_name,copa_address,copa_id,portal_id
Archdiocese of Chicago-St. Philip Neri,2010 E. 72nd Street,1572,
Armour,950 W 33RD PL,1391,
Asian Human Services (Leaf Program Daycare Center),6015 N. Francisco Ave,1386,
Barry,2828 N KILBOURN AVE,1396,
Belding,4257 N TRIPP AVE,1400,
Belmont-Cragin,5252 W PALMER ST,1401,
Blue North,1615 W. Chicago Avenue St.,518,
Building Blocks Learning Academy II,7522 S. Greenwood Ave,1384,
Calumet Family Service Center,235 East 103rd Street,1237,
Cardenas,2406 S. Central Park Ave.,272,
Carroll,2929 W 83RD ST,1421,
Chavez,4747 S MARSHFIELD AVE,1425,
City Colleges - Malcolm X College,1900 W. Jackson,128,
Courtenay,4420 N BEACON ST,1432,
Creative Little Ones (Halsted),9528 S Halsted St.,1372,
Dewey,5415 S Union Ave,1232,
Falconer,3020 North Lamon Ave.,305,
Family Focus - Englewood,6727 S Western Ave,1301,
FCCH-Alejandra Flores,3443 W. 71st Place,726,
FCCH-Angelita Yugsi,6547 S Knox Ave,803,
FCCH-Claudia Larios,4711 S Wolcott Ave,1129,
FCCH-Debra Baker,1728 N Austin Ave,1239,
FCCH-Delgado Mercedes,7711 S. Keating Ave,1375,
FCCH-Diana G. Macias,6137 W. nelson St,1338,
FCCH-Ileana Gonzalez,4250 W. 81st Street,1342,
FCCH-Isabel and Ade Gutierrez (N),5256 S. Homan,1369,
FCCH-Jacquelin Hopgood-German,10003 S Morgan St,1373,
FCCH-Juan L. Fuentes,5708 S. Rockwell St.,1348,
FCCH-Latashie Taiwo,8609 S Ingleside Ave,1253,
FCCH-Laura Maldonado,4810 S.. Kedvale Ave,1330,
FCCH-Maria Rosalba Zermeno,3234 W 66th St,1333,
FCCH-Martha Cruz-Ornelas,2445 S. Trumbull Ave,1335,
FCCH-Mary Pratts,2857 W. 55th St,1336,
FCCH-Michelle Padilla,7973 S. Kolin Ave.,913,
FCCH-Nancy Aguirre,4015 W. 59th Street,1374,
FCCH-Netonia Burrell,1242 W 73rd Pl,1282,
FCCH-Patricia Coba,2719 S Millard,1044,
FCCH-Patricia Hernandez,4958 S Racine Ave,1004,
FCCH-Patricia Oros,2826 W 40th Pl,1003,
FCCH-Perla Yasuda,4612 W. 82nd Street,1331,
FCCH-Rosa Lopez,4924 S Keeler,758,
FCCH-Sara Leon de Diaz,6235 S Parkside Ave,1149,
FCCH-Sherisse Holmes,4119 W 16th St.,1117,
FCCH-Shirley Oliver,6020 S Paulina,1043,
FCCH-Susie Cannon,5921 W Rice,920,
FCCH-Tita Jackson,604 E 88th St,1045,
FCCH-Tosha Kelly-Rushton,8050 S Honore,1037,
Firman House South,5401 S. Wentworth Ave.,523,
Firman West II SA 4644 S. Dearborn,4644 S. Dearborn,530,
First Start Children's Academy South,"5700 S Ashland Ave, 1st Fl",1100,
Foresight Children's Learning Center Inc.,101 E 69th St.,1383,
Gifted Children Academy,1522 W. Howard St. #24,1385,
Graham ES,4436 S. Union,297,
Gray,3730 N LARAMIE AVE,1451,
Great Expectations,1146 S California Ave,1379,
Grimes,5450 W 64TH PL,1455,
Healthy Families Chicago,2100 S. Marshall Blvd,1592,
Jenkins Institute of Love,8907 S Cottage Grove Ave,1378,
Kiddieland Education Center,3809 N. Cicero Ave,1387,
Kiddy Kare Site 1,4444 S Kedzie,1135,
Lawndale,3500 W. Douglas Blvd,377,
Learn Charter Herro,3021 W. Carroll,1599,
Logandale,3212 W GEORGE ST,1480,
Lowell,3320 W. Hirsch,383,
Maryville Crisis Nursery,4015 N. Oak Park Ave,1601,
Mason,4217 W. 19th St,386,
Nixon,2121 N Keeler Ave.,956,
Onward Neighborhood House - Belmont Cragin,5423 W Diversey Ave,843,
Options for Youth-Community Group,5234 S. Blackstone St.,1610,
Ounce of Prevention-Advocate IL Masonic Medical Ctr,3040 N. Wilton Ave,1611,
Ounce of Prevention-Catholic Charities,11255 S. Michigan Ave,1612,
Ounce of Prevention-Christopher House,2507 N. Greenview,1613,
Ounce of Prevention-Family Focus Englewood,6727 S. Western Ave,1615,
Ounce of Prevention-Pilsen Wellness Center,2319 S. Damen Ave,1616,
Parker,6800 S STEWART AVE,1507,
Perez,1241 W. 19th Street,344,
Pershing,3113 S. Rhodes,510,
Red South,1615 W. Chicago,1,
SGA Youth and Family Services,3054 W. Cermak Rd.,1184,
Simpson Academy,1321 S Paulina St,1136,
South East Asia Center - Ainslie,1134 W. Ainslie,31,
The Baby Academy,8607 S Cottage Grove Ave,1329,
The Montessori School of Englewood,6936 S Hermitage Ave,1381,
True to Life Foundation-Community Group,6250 S. Wood St,1619,
True to Life Foundation-Safe Heaven Shelters,6631 N. Bosworth Ave,1620,
West ridge,6700 N WHIPPLE ST,1555,
