ECMKey|Site_Name|Desc_English|Desc_Spanish|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Latitude|Longitude|Location|Agency_Associated_With|Neighborhood|Modified_on|Quality_Rating|Availability_Level
100|ABC Preschool|We have seen that there is a need for strong resourceful programs that emphasizes on parent engagement  awareness and community involvement. Our experiences inculded helping our children and their families to develop a responsible attitude toward society and fostering feelings of belonging to a comm|''|3800 N Austin Ave|Chicago|IL|60634|(773) 685-9033|0|''|True|True|''|''|''|''|7:00am-5:30pm|''|''|''|''|''|English, Spanish|''| |''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
1000366|Gilchrist Marchman|0|''|0|0|0|0|0|0|''|True|False|''|''|''|''|0|''|''|''|''|''|0|''|0|''|''|''|''|''|7/8/2016 7:25:37 AM|0|Medium
101|Ada S. McKinley Community Services - Ersula Howard|Ersula Howard is located in the South shore community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program and the Chicago Public School Community Partnership's Preschool for All |''|7222 S Exchange Ave|Chicago|IL|60649|(773) 221-9711|http://adasmckinley.org|''|True|False|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
102|Ada S. McKinley Community Services - Maggie Drummond|Maggie Drummond offers comprehensive services for the whole family.  We welcome children with all levels of abilities and challenges and all family dynamics.  We strive for a partnership with parents  recognizing that they are their child's first and most important teacher.  Maggie Drummond is a pla|''|4301 S Wabash Ave|Chicago|IL|60653|(773) 373-8200|http://www.adasmckinley.org|''|False|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
103|Ada S. McKinley Community Services - Roseland|Roseland is located in the Roseland community that provides services to children between the ages of three to five years old. We are funded by the City of Chicago Department of Family Support Services Head Start Program. We have partnered with Teach for America to ensure that we have qualified teach|''|11400 S Edbrooke Ave|Chicago|IL|60628|(773) 468-1918|http://www.adasmckinley.org|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English, Spanish|''|COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
104|Ada S. McKinley Community Services - Trumbull Park|We have uniquely been housed in (CHA) Chicago Housing Authority for over 40 years but we welcome those outside the South Deering Community. Our newly renovated program offers Headstart  Childcare  and Pre-k services to children 3-5 years old.Our hours of operation are from 7:00 am to 6:00 pm We are |''|10534 S Oglesby Ave|Chicago|IL|60617|(773) 978-5341|0|''|True|True|''|''|''|''|7:00am-6:00pm|''|''|''|''|''|English|''|COA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
105|Albany Park Community Center - Ainslie|This site offers a comprehensive full day  full year preschool program for low income  at-risk children and their families promoting the social  emotional  cognitive and physical well-being of children ages 3 to 5 with the goal of preparing children for a lifetime of learning and success. The progra|''|3401 W Ainslie Ave|Chicago|IL|60625|(773) 599-5907|http://www.apcc-chgo.org|''|True|True|''|''|''|''|0|''|''|''|''|''|0|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
106|Albany Park Community Center - Uptown|This site offers a variety of comprehensive preschool programs for low income  at-risk children and their families promoting the social  emotional  cognitive and physical well-being of children ages 3 to 5 with the goal of preparing children for a lifetime of learning and success. The program is acc|''|1020 W Bryn Mawr Ave|Chicago|IL|60660|(773) 769-3197|http://www.apcc-chgo.org|''|True|True|''|''|''|''|0|''|''|''|''|''|0|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
107|All About Kids Learning Academy, Inc|At All About Kids Learning Academy we focus on creating a positive environment for everyone involved in the process of developing the foundation for educating our children. We offers an exciting fun-filled learning environment for children between the ages of 6 weeks and 5 years of age.  Our curricu|''|514 E 75th St|Chicago|IL|60619|(773) 892-2800|0|''|False|True|''|''|''|''|6:30am-6:00pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
108|Allison's Infant and Toddler Center - Englewood|Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although  we speak the English language primarily  we have a strong desire to share our differences  some of which stem from the |''|5522 S Racine Ave|Chicago|IL|60636|(773) 436-3193|http://www.allisonsinfantandtoddler.com|''|False|True|''|''|''|''|6:00am-6:00pm|''|''|''|''|''|English|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
109|Allison's Infant and Toddler Center - Park Manor/Greater Grand Crossing|Allison's Infant & Toddler Center's philosophy is to provide high quality of service to children between the ages of 6 weeks-6 years old from various ethnic back grounds. Although  we speak the English language primarily  we have a strong desire to share our differences  some of which stem from the |''|440-442 E 71st St|Chicago|IL|60619|(773) 952-4391|http://www.allisonsinfantandtoddler.com|''|False|True|''|''|''|''|6:00am-6:00pm|''|''|''|''|''|English|''|Awards of Excellence, NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
110|Allison's Infant and Toddler Center - Roseland|Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with Allison's.  Through this partnership  Allison's offers high quality early childhood education in a safe  licensed child care facility dedicated to supporting families and helpin|''|234 E 115th St|Chicago|IL|60628|(773) 840-4502|http://www.allisonsinfantandtoddler.com|''|False|True|''|''|''|''|6:00am-6:00pm|''|''|''|''|''|English|''|Awards of Excellence, NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
111|Archdiocese of Chicago - Augustus Tolton|St. Columbanus School provides a full day curriculm consisting of language arts  math  science  social studies  computer  gym  art and music.  The before and after school programs are available to those who need it.\nWe focus on developing a positive self image. Students are rewarded for good behavio|''|7120 S Calumet Ave|Chicago|IL|60619|(773) 224-3811|http://elem.stcolumbanuschicago.org|''|False|True|''|''|''|''|8:00am-3:30pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
112|Archdiocese of Chicago - Epiphany|Epiphany's preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to m|''|4223 W 25th St|Chicago|IL|60623|(773) 762-1542|http://www.epiphanychicago.org|''|True|True|''|''|''|''|8:00am-3:00pm|''|''|''|''|''|English, Spanish|''| |''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
113|Archdiocese of Chicago - Maternity BVM|Maternity BVM is a Catholic school which offers full day preschool to three and four year old children.  We promote academic excellence in a faith-filled environment.  Our preschool program prepares our children for kindergarten.  Our students participate in physical education classes  art  music  a|''|1537 N Lawndale Ave|Chicago|IL|60651|(773) 227-1140|http://maternitybvmchicago.com|''|True|True|''|''|''|''|8:00am-3:00pm|''|''|''|''|''|English, Spanish|''|AdvanceEd NCA|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
114|Archdiocese of Chicago - Our Lady of Grace|Our Lady of Grace preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is us|''|2446 N Ridgeway Ave|Chicago|IL|60647|(773) 342-0170|http://www.olgchicago.org|''|True|True|''|''|''|''|7:45am-2:45pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
115|Archdiocese of Chicago - Our Lady of Tepeyac|Our Lady of Tepeyac preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is |''|2235 S Albany Ave|Chicago|IL|60623|(773) 522-0024|http://www.ourladyoftepeyacelementary.org|''|True|True|''|''|''|''|7:50am-3:00pm|''|''|''|''|''|English|''| |''|''|''|''|''|Jun 27 2016  9:37PM|0|High
116|Archdiocese of Chicago - Our Lady of the Snow|Our Lady of the Snows preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment i|''|4810 S Leamington Ave|Chicago|IL|60638|(773) 735-4810|http://www.ourladyofthesnowschicago.org|''|True|True|''|''|''|''|6:30am-5:45pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
117|Archdiocese of Chicago - Pope John Paul II|Pope John Paul II Catholic School provides a full and half day preschool program for 3 and 4 year old children. We have two classrooms with both a teacher and an aid. Our program is recognized by the Archdiocese of Chicago and Illinois State Board of Education.\n\nOur preschool program provides many u|''|4325 S Richmond Ave|Chicago|IL|60632|(773) 523-6161|http://www.pjpiischool.com|''|True|True|''|''|''|''|7:45am-2:45pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
118|Archdiocese of Chicago - Queen of the Universe|Queen of the Universe preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment i|''|7130 S Hamlin Ave|Chicago|IL|60629|(773) 582-4266|http://www.qofu.org|''|True|False|''|''|''|''|7:45am-3:00pm|''|''|''|''|''|Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
119|Archdiocese of Chicago - St. Agnes of Bohemia|In striving to educate the whole child  the curriculum at St. Agnes of Bohemia is reflective of the dedication to a solid education that the faculty  staff and students strive for daily. For over 100 years  St. Agnes has dedicated itself to educating immigrant families for lives of faith  service an|''|2643 S Central Park Ave|Chicago|IL|60623|(773) 522-0143|http://school.stagnesofbohemia.org|''|True|True|''|''|''|''|7:45am-5:00pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
120|Archdiocese of Chicago - St. Angela|St. Angela School offers a strong academic program in a nurturing environment.  Our teachers view our students as individuals and seek to meet the needs of each of our learners.  We offer special classes such as music and dance.  Our preschoolers have access to various forms of technology which enha|''|1332 N Massasoit Ave|Chicago|IL|60651|(773) 626-2655|http://www.saintangela.org|''|True|True|''|''|''|''|6:00am-6:00pm|''|''|''|''|''|English|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
121|Archdiocese of Chicago - St. Ann|Saint Ann School is a Catholic  co-educational school that provides an excellent education to PK-8th grade students.  We are dedicated to helping our children achieve their full academic  physical  social  and spiritual potential.|''|2211 W 18th Pl|Chicago|IL|60608|(312) 829-4153|http://www.stanncrusaders.org|''|True|True|''|''|''|''|7:50am-3:00pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
122|Archdiocese of Chicago - St. Benedict the African|The mission of the Academy of St. Benedict the African is to nurture the body  mind and spirit of each child entrusted to our care. We believe that children learn when they feel safe  encouraged  and respected by their teachers and peers. We believe that children learn through independent play exper|''|6020 S Laflin St|Chicago|IL|60636|(773) 776-3316|http://www.academystbenedict.org/|''|True|True|''|''|''|''|6:15am-6:15pm|''|''|''|''|''|English|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
123|Archdiocese of Chicago - St. Bruno|We believe  at St. Bruno Preschool  that each child is a unique individual with his/her own pattern of growth and development. To foster this growth the child needs a planned environment  which is child-centered. The child needs a place where the teacher meets them on his/her level  literally and de|''|4839 S Harding Ave|Chicago|IL|60632|(773) 847-0697|http://www.stbruno.com|''|True|True|''|''|''|''|7:50am-2:45pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
124|Archdiocese of Chicago - St. Ethelreda|St. Ethelreda preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used t|''|8734 S Paulina St|Chicago|IL|60620|(773) 238-1757|http://www.stethelreda.org|''|True|True|''|''|''|''|8:00am-3:00pm|''|''|''|''|''|English|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
125|Archdiocese of Chicago - St. Gall|St. Gall School collaborates with our parish  families  and community  to inspire and strengthen students to achieve their full potential in their academic  spiritual and moral lives. Through our faith-centered environment and rigorous curriculum  we strive to nurture life-long learners and global l|''|5515 S Sawyer Ave|Chicago|IL|60629|(773) 737-3454|http://www.stgallschool.com|''|True|True|''|''|''|''|7:45am-3:00pm|''|''|''|''|''|English|''|AdvancED|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
126|Archdiocese of Chicago - St. John de la Salle|The St. John de la Salle (PFA) Preschool for All Program is a full day program providing high quality preschool services for the benefit of children who may need extra preparation for kindergarten. It provides developmentally appropriate experiences and an educational program that includes a languag|''|10212 S Vernon Ave|Chicago|IL|60619|(773) 785-2331|http://www.saintjohndelasalle.org|''|True|True|''|''|''|''|8:00am - 3:00pm|''|''|''|''|''|English|''|NAEYC|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
127|Archdiocese of Chicago - St. Margaret of Scotland|St. Margaret of Scotland offers a full day preschool program for students ages from 3-5 years old.  Included in our preschool program is before and after school program.  We provide developmentally  socially  and emotionally appropriate programs and activities for the students.  Pre-school is an imp|''|9833 Throop Street|Chicago|IL|60643|(773) 238-1088|http://www.stmargaretofscotland.com|''|True|True|''|''|''|''|0|''|''|''|''|''|0|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
128|Archdiocese of Chicago - St. Mary of the Lake|St. Mary of the Lake preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is|''|1026 W Buena Ave|Chicago|IL|60613|(773) 281-0018|http://www.stmary-stthomas.org|''|True|True|''|''|''|''|7:45am-2:45pm|''|''|''|''|''|English, Amharic, Spanish|''| |''|''|''|''|''|Jun 27 2016  9:37PM|0|High
129|Archdiocese of Chicago - St. Mary Star of the Sea|St. Mary Star of the Sea Pre-School is located in the West Lawn neighborhood of Chicago--just southeast of Midway Airport and the Orange Line.  It is part of the Catholic Elementary School that includes Pre-School through Grade 8.  The Pre-School is a student-centered program with  hands-on and mult|''|6424 S Kenneth Ave|Chicago|IL|60629|(773) 767-6160|http://stmarystarofthesea.archchicago.org|''|True|True|''|''|''|''|7:45am-3:00pm|''|''|''|''|''|English, Spanish|''|AdvancED|''|''|''|''|''|Jun 27 2016  9:37PM|0|Medium
130|Archdiocese of Chicago - St. Nicholas of Tolentine|St. NIcholas preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to|''|3741 W 62nd St|Chicago|IL|60629|(773) 735-0772|http://www.stnicksschool.com|''|True|True|''|''|''|''|7:45am-3:00pm|''|''|''|''|''|English, Spanish|''|AdvancEd|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
131|Archdiocese of Chicago - St. Richard|St. Richard preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to |''|5025 S Kenneth Ave|Chicago|IL|60632|(773) 582-8083|http://www.saintrichardschool.net|''|True|True|''|''|''|''|8:00am-3:00pm|''|''|''|''|''|English, Spanish|''|0|''|''|''|''|''|Jun 27 2016  9:37PM|0|High
